Colony ID,Tank ID,Experiment period,Treatment,Sample Mean Gray Value,Standard Mean Gray Value,Normalized mean gray value
ADIG01,BT1,Post-exposure,Control,99.307,196.772,50.46805439798345
ADIG01,BT1,Post-exposure,Control,81.274,207.195,39.225850044643934
ADIG01,BT2,Post-exposure,Control,78.478,186.439,42.093124292664086
ADIG01,BT2,Post-exposure,Control,80.485,198.833,40.47869317467423
ADIG01,BT3,Post-exposure,Heat-stressed,81.709,182.378,44.80200462775116
ADIG01,BT3,Post-exposure,Heat-stressed,73.117,193.952,37.69850272232305
ADIG01,BT4,Post-exposure,Heat-stressed,88.189,190.094,46.39231117236735
ADIG01,BT4,Post-exposure,Heat-stressed,88.508,198.553,44.576511057501016
ADIG01,BT5,Post-exposure,Heat-stressed,112.368,198.444,56.62453891274113
ADIG01,BT5,Post-exposure,Heat-stressed,122.053,209.993,58.122413604263
ADIG01,BT6,Post-exposure,Control,50.454,194.147,25.987524916686844
ADIG01,BT6,Post-exposure,Control,46.972,205.519,22.85530778176227
ADIG01,BT7,Post-exposure,Heat-stressed,134.071,187.203,71.61797620764624
ADIG01,BT7,Post-exposure,Heat-stressed,155.061,197.658,78.44913942263912
ADIG01,BT8,Post-exposure,Control,60.024,183.446,32.720255552042566
ADIG01,BT8,Post-exposure,Control,51.966,196.011,26.51177740024795
ADIG02,BT1,Post-exposure,Control,64.399,183.659,35.064440076446026
ADIG02,BT1,Post-exposure,Control,71.656,194.378,36.86425418514441
ADIG02,BT2,Post-exposure,Control,69.17,185.563,37.27575001481977
ADIG02,BT2,Post-exposure,Control,65.468,195.819,33.43291508995552
ADIG02,BT3,Post-exposure,Heat-stressed,91.935,183.309,50.15302030996842
ADIG02,BT3,Post-exposure,Heat-stressed,64.25,194.887,32.96782237912226
ADIG02,BT4,Post-exposure,Heat-stressed,73.453,180.318,40.73525660222496
ADIG02,BT4,Post-exposure,Heat-stressed,71.713,191.018,37.54253525845731
ADIG02,BT5,Post-exposure,Heat-stressed,73.337,179.476,40.861730816376564
ADIG02,BT5,Post-exposure,Heat-stressed,56.957,195.836,29.08402949406646
ADIG02,BT6,Post-exposure,Control,48.892,175.653,27.834423550978354
ADIG02,BT6,Post-exposure,Control,47.218,190.586,24.775167116157533
ADIG02,BT7,Post-exposure,Heat-stressed,90.388,183.389,49.28757995299609
ADIG02,BT7,Post-exposure,Heat-stressed,51.208,194.022,26.392883281277378
ADIG02,BT8,Post-exposure,Control,62.551,181.269,34.50727923693516
ADIG02,BT8,Post-exposure,Control,56.46,191.41,29.49689148947286
