Colony ID,Tank ID,Experiment period,Treatment,Sample Mean Gray Value,Standard Mean Gray Value,Normalized mean gray value
CANA,BT1,Pre-exposure,Control,159.288,184.103,86.5211321923054
CANA,BT1,Pre-exposure,Control,175.815,188.498,93.2715466477098
CANA,BT2,Pre-exposure,Control,106.173,204.847,51.830390486558265
CANA,BT2,Pre-exposure,Control,106.239,202.571,52.44531546963781
CANA,BT3,Pre-exposure,Heat-stressed,100.297,194.746,51.501442905117436
CANA,BT3,Pre-exposure,Heat-stressed,69.4,189.85,36.55517513826706
CANA,BT4,Pre-exposure,Heat-stressed,147.533,211.592,69.72522590646149
CANA,BT4,Pre-exposure,Heat-stressed,121.195,211.05,57.424780857616675
CANA,BT5,Pre-exposure,Heat-stressed,107.391,200.559,53.54583937893588
CANA,BT5,Pre-exposure,Heat-stressed,128.455,200.928,63.93086080586081
CANA,BT6,Pre-exposure,Control,106.16,211.029,50.30588212994422
CANA,BT6,Pre-exposure,Control,115.875,210.62,55.01614281644668
CANA,BT7,Pre-exposure,Heat-stressed,103.211,205.323,50.26762710461078
CANA,BT7,Pre-exposure,Heat-stressed,123.701,204.231,60.56915943221156
CANA,BT8,Pre-exposure,Control,129.627,207.458,62.48349063424886
CANA,BT8,Pre-exposure,Control,78.596,207.682,37.84439672191139
CANB,BT1,Pre-exposure,Control,176.328,220.715,79.88945019595405
CANB,BT1,Pre-exposure,Control,165.663,221.942,74.64247415991566
CANB,BT2,Pre-exposure,Control,116.093,207.168,56.03809468643806
CANB,BT2,Pre-exposure,Control,108.653,207.928,52.25510753722443
CANB,BT3,Pre-exposure,Heat-stressed,84.72,200.798,42.19165529537147
CANB,BT3,Pre-exposure,Heat-stressed,133.505,201.044,66.40586140347386
CANB,BT4,Pre-exposure,Heat-stressed,172.929,205.729,84.05669594466507
CANB,BT4,Pre-exposure,Heat-stressed,134.856,205.495,65.62495437845203
CANB,BT5,Pre-exposure,Heat-stressed,121.932,217.014,56.18623683264674
CANB,BT5,Pre-exposure,Heat-stressed,138.603,217.353,63.76861603014451
CANB,BT6,Pre-exposure,Control,138.036,213.696,64.59456424079065
CANB,BT6,Pre-exposure,Control,150.291,214.294,70.13308818725676
CANB,BT7,Pre-exposure,Heat-stressed,110.295,189.513,58.199173671463164
CANB,BT7,Pre-exposure,Heat-stressed,133.048,189.407,70.24449993928418
CANB,BT8,Pre-exposure,Control,112.034,199.949,56.0312879784345
CANB,BT8,Pre-exposure,Control,152.336,200.065,76.14325344263115
CANC,BT1,Pre-exposure,Control,117.837,194.305,60.64537711330126
CANC,BT1,Pre-exposure,Control,173.134,194.949,88.80989386967872
CANC,BT2,Pre-exposure,Control,155.3,205.627,75.5251012756107
CANC,BT2,Pre-exposure,Control,174.967,205.419,85.17566534741188
CANC,BT3,Pre-exposure,Heat-stressed,99.419,187.654,52.979952465708166
CANC,BT3,Pre-exposure,Heat-stressed,150.535,186.947,80.52282197628205
CANC,BT4,Pre-exposure,Heat-stressed,131.727,187.727,70.16944818806033
CANC,BT4,Pre-exposure,Heat-stressed,107.831,187.703,57.4476699892916
CANC,BT5,Pre-exposure,Heat-stressed,129.199,213.474,60.52212447417485
CANC,BT5,Pre-exposure,Heat-stressed,128.343,213.308,60.16792619123521
CANC,BT6,Pre-exposure,Control,145.547,208.675,69.74817299628609
CANC,BT6,Pre-exposure,Control,140.572,208.794,67.32568943552018
CANC,BT7,Pre-exposure,Heat-stressed,109.194,193.41,56.457266945866294
CANC,BT7,Pre-exposure,Heat-stressed,86.689,194.417,44.58920773389158
CANC,BT8,Pre-exposure,Control,151.375,199.46,75.8924095056653
CANC,BT8,Pre-exposure,Control,127.7,200.025,63.84201974753155
CAND,BT1,Pre-exposure,Control,131.576,211.738,62.14094777508053
CAND,BT1,Pre-exposure,Control,127.63,210.588,60.60649229775675
CAND,BT2,Pre-exposure,Control,87.414,204.406,42.76488948465309
CAND,BT2,Pre-exposure,Control,84.777,204.119,41.53312528476036
CAND,BT3,Pre-exposure,Heat-stressed,91.735,186.852,49.09500567293901
CAND,BT3,Pre-exposure,Heat-stressed,89.389,187.115,47.77222563664056
CAND,BT4,Pre-exposure,Heat-stressed,138.128,200.799,68.78918719714738
CAND,BT4,Pre-exposure,Heat-stressed,105.105,201.005,52.28974403621801
CAND,BT5,Pre-exposure,Heat-stressed,96.238,202.414,47.54513027754997
CAND,BT5,Pre-exposure,Heat-stressed,125.582,202.643,61.97203949803348
CAND,BT6,Pre-exposure,Control,153.728,209.684,73.3141298334637
CAND,BT6,Pre-exposure,Control,136.887,209.659,65.29030473292346
CAND,BT7,Pre-exposure,Heat-stressed,148.749,208.831,71.22936728742381
CAND,BT7,Pre-exposure,Heat-stressed,123.567,208.51,59.261905903793576
CAND,BT8,Pre-exposure,Control,154.697,203.534,76.00548311338646
CAND,BT8,Pre-exposure,Control,123.799,203.594,60.806801772154394
