Colony ID,Tank ID,Experiment period,Treatment,Sample Mean Gray Value,Standard Mean Gray Value,Normalized mean gray value
ATEN01,BT1,Post-exposure,Control,89.872,220.649,40.7307533684721
ATEN01,BT1,Post-exposure,Control,114.451,220.571,51.888507555390326
ATEN01,BT2,Post-exposure,Control,84.773,219.691,38.58737954672699
ATEN01,BT2,Post-exposure,Control,103.332,221.619,46.62596618520975
ATEN01,BT3,Post-exposure,Heat-stressed,97.564,220.592,44.22825850438819
ATEN01,BT3,Post-exposure,Heat-stressed,92.132,220.623,41.75992530243901
ATEN01,BT4,Post-exposure,Heat-stressed,68.57,230.873,29.700311426628488
ATEN01,BT4,Post-exposure,Heat-stressed,72.026,230.871,31.197508565389327
ATEN01,BT5,Post-exposure,Heat-stressed,116.128,168.718,68.8296447326308
ATEN01,BT5,Post-exposure,Heat-stressed,155.832,168.594,92.43033559913164
ATEN01,BT6,Post-exposure,Control,189.607,201.163,94.25540482096608
ATEN01,BT6,Post-exposure,Control,187.739,201.15,93.33283619189659
ATEN01,BT7,Post-exposure,Heat-stressed,188.173,200.931,93.6505566587535
ATEN01,BT7,Post-exposure,Heat-stressed,208.402,201.58,103.38426431193571
ATEN01,BT8,Post-exposure,Control,190.581,201.728,94.47424254441623
ATEN01,BT8,Post-exposure,Control,197.91,201.5,98.21836228287842
ATEN02,BT1,Post-exposure,Control,82.541,218.833,37.71871701251639
ATEN02,BT1,Post-exposure,Control,61.518,219.346,28.046100681115682
ATEN02,BT2,Post-exposure,Control,85.554,232.815,36.74763224019071
ATEN02,BT2,Post-exposure,Control,112.458,232.613,48.345535288225506
ATEN02,BT3,Post-exposure,Heat-stressed,62.951,232.744,27.047313786821576
ATEN02,BT3,Post-exposure,Heat-stressed,109.215,232.411,46.99218195352199
ATEN02,BT4,Post-exposure,Heat-stressed,71.477,232.239,30.777345751574885
ATEN02,BT4,Post-exposure,Heat-stressed,80.991,233.069,34.749795125048806
ATEN02,BT5,Post-exposure,Heat-stressed,117.277,171.036,68.56860543979046
ATEN02,BT5,Post-exposure,Heat-stressed,92.162,172.055,53.56542965912063
ATEN02,BT6,Post-exposure,Control,100.313,204.285,49.1044374281029
ATEN02,BT6,Post-exposure,Control,86.305,202.733,42.5707704221809
ATEN02,BT7,Post-exposure,Heat-stressed,123.123,203.555,60.4863550391786
ATEN02,BT7,Post-exposure,Heat-stressed,95.666,204.35,46.81477856618547
ATEN02,BT8,Post-exposure,Control,219.033,204.671,107.01711527280366
ATEN02,BT8,Post-exposure,Control,181.894,204.846,88.79548538902395
ATEN03,BT1,Post-exposure,Control,121.619,211.292,57.559680442231596
ATEN03,BT1,Post-exposure,Control,111.331,227.132,49.015990701442334
ATEN03,BT2,Post-exposure,Control,109.18,222.566,49.05511174213492
ATEN03,BT2,Post-exposure,Control,80.219,227.18,35.31076679285148
ATEN03,BT3,Post-exposure,Heat-stressed,103.835,226.822,45.77818730105545
ATEN03,BT3,Post-exposure,Heat-stressed,107.57,227.014,47.38474279119349
ATEN03,BT4,Post-exposure,Heat-stressed,82.092,227.467,36.08963058377698
ATEN03,BT4,Post-exposure,Heat-stressed,69.544,227.042,30.63045603897076
ATEN03,BT5,Post-exposure,Heat-stressed,128.168,179.725,71.3133954652942
ATEN03,BT5,Post-exposure,Heat-stressed,91.494,205.613,44.498159163087934
ATEN03,BT6,Post-exposure,Control,108.172,204.67,52.85190794938194
ATEN03,BT6,Post-exposure,Control,110.171,205.321,53.657930752334146
ATEN03,BT7,Post-exposure,Heat-stressed,120.98,205.655,58.826675743356596
ATEN03,BT7,Post-exposure,Heat-stressed,131.672,205.297,64.1373230003361
ATEN03,BT8,Post-exposure,Control,148.203,205.638,72.0698509030432
ATEN03,BT8,Post-exposure,Control,131.221,206.157,63.651003846582945
ATEN04,BT1,Post-exposure,Control,74.989,214.36,34.98273931703676
ATEN04,BT1,Post-exposure,Control,84.172,230.113,36.57855053821383
ATEN04,BT2,Post-exposure,Control,88.122,229.853,38.33841629215194
ATEN04,BT2,Post-exposure,Control,70.606,230.141,30.679453030967966
ATEN04,BT3,Post-exposure,Heat-stressed,103.512,230.054,44.994653429194884
ATEN04,BT3,Post-exposure,Heat-stressed,54.466,230.156,23.664818644745303
ATEN04,BT4,Post-exposure,Heat-stressed,103.323,229.931,44.936524435591544
ATEN04,BT4,Post-exposure,Heat-stressed,44.224,230.092,19.220138031743822
ATEN04,BT5,Post-exposure,Heat-stressed,141.864,171.644,82.65013632868029
ATEN04,BT5,Post-exposure,Heat-stressed,149.22,200.832,74.30090822179733
ATEN04,BT6,Post-exposure,Control,118.224,200.648,58.921095650093704
ATEN04,BT6,Post-exposure,Control,186.719,200.445,93.1522362742897
ATEN04,BT7,Post-exposure,Heat-stressed,211.125,201.076,104.99761284290517
