Species,Day elapsed,Colony,N fragment,Bleached fragments,Healthy fragments,Fragment ID,Fragment #,status
A. digitifera,0,ADIG01,8,0,8,ADIG01_1,1,1
A. digitifera,0,ADIG01,8,0,8,ADIG01_2,2,1
A. digitifera,0,ADIG01,8,0,8,ADIG01_3,3,1
A. digitifera,0,ADIG01,8,0,8,ADIG01_4,4,1
A. digitifera,0,ADIG01,8,0,8,ADIG01_5,5,1
A. digitifera,0,ADIG01,8,0,8,ADIG01_6,6,1
A. digitifera,0,ADIG01,8,0,8,ADIG01_7,7,1
A. digitifera,0,ADIG01,8,0,8,ADIG01_8,8,1
A. digitifera,0,ADIG02,8,0,8,ADIG02_1,1,1
A. digitifera,0,ADIG02,8,0,8,ADIG02_2,2,1
A. digitifera,0,ADIG02,8,0,8,ADIG02_3,3,1
A. digitifera,0,ADIG02,8,0,8,ADIG02_4,4,1
A. digitifera,0,ADIG02,8,0,8,ADIG02_5,5,1
A. digitifera,0,ADIG02,8,0,8,ADIG02_6,6,1
A. digitifera,0,ADIG02,8,0,8,ADIG02_7,7,1
A. digitifera,0,ADIG02,8,0,8,ADIG02_8,8,1
A. digitifera,0,ADIG03,8,0,8,ADIG03_1,1,1
A. digitifera,0,ADIG03,8,0,8,ADIG03_2,2,1
A. digitifera,0,ADIG03,8,0,8,ADIG03_3,3,1
A. digitifera,0,ADIG03,8,0,8,ADIG03_4,4,1
A. digitifera,0,ADIG03,8,0,8,ADIG03_5,5,1
A. digitifera,0,ADIG03,8,0,8,ADIG03_6,6,1
A. digitifera,0,ADIG03,8,0,8,ADIG03_7,7,1
A. digitifera,0,ADIG03,8,0,8,ADIG03_8,8,1
A. digitifera,0,ADIG04,7,0,7,ADIG04_1,1,1
A. digitifera,0,ADIG04,7,0,7,ADIG04_2,2,1
A. digitifera,0,ADIG04,7,0,7,ADIG04_3,3,1
A. digitifera,0,ADIG04,7,0,7,ADIG04_4,4,1
A. digitifera,0,ADIG04,7,0,7,ADIG04_5,5,1
A. digitifera,0,ADIG04,7,0,7,ADIG04_6,6,1
A. digitifera,0,ADIG04,7,0,7,ADIG04_7,7,1
A. digitifera,0,ADIG05,8,0,8,ADIG05_1,1,1
A. digitifera,0,ADIG05,8,0,8,ADIG05_2,2,1
A. digitifera,0,ADIG05,8,0,8,ADIG05_3,3,1
A. digitifera,0,ADIG05,8,0,8,ADIG05_4,4,1
A. digitifera,0,ADIG05,8,0,8,ADIG05_5,5,1
A. digitifera,0,ADIG05,8,0,8,ADIG05_6,6,1
A. digitifera,0,ADIG05,8,0,8,ADIG05_7,7,1
A. digitifera,0,ADIG05,8,0,8,ADIG05_8,8,1
A. digitifera,0,ADIG06,8,0,8,ADIG06_1,1,1
A. digitifera,0,ADIG06,8,0,8,ADIG06_2,2,1
A. digitifera,0,ADIG06,8,0,8,ADIG06_3,3,1
A. digitifera,0,ADIG06,8,0,8,ADIG06_4,4,1
A. digitifera,0,ADIG06,8,0,8,ADIG06_5,5,1
A. digitifera,0,ADIG06,8,0,8,ADIG06_6,6,1
A. digitifera,0,ADIG06,8,0,8,ADIG06_7,7,1
A. digitifera,0,ADIG06,8,0,8,ADIG06_8,8,1
A. digitifera,0,ADIG07,7,0,7,ADIG07_1,1,1
A. digitifera,0,ADIG07,7,0,7,ADIG07_2,2,1
A. digitifera,0,ADIG07,7,0,7,ADIG07_3,3,1
A. digitifera,0,ADIG07,7,0,7,ADIG07_4,4,1
A. digitifera,0,ADIG07,7,0,7,ADIG07_5,5,1
A. digitifera,0,ADIG07,7,0,7,ADIG07_6,6,1
A. digitifera,0,ADIG07,7,0,7,ADIG07_7,7,1
A. digitifera,0,ADIG08,8,0,8,ADIG08_1,1,1
A. digitifera,0,ADIG08,8,0,8,ADIG08_2,2,1
A. digitifera,0,ADIG08,8,0,8,ADIG08_3,3,1
A. digitifera,0,ADIG08,8,0,8,ADIG08_4,4,1
A. digitifera,0,ADIG08,8,0,8,ADIG08_5,5,1
A. digitifera,0,ADIG08,8,0,8,ADIG08_6,6,1
A. digitifera,0,ADIG08,8,0,8,ADIG08_7,7,1
A. digitifera,0,ADIG08,8,0,8,ADIG08_8,8,1
A. digitifera,0,ADIG09,8,0,8,ADIG09_1,1,1
A. digitifera,0,ADIG09,8,0,8,ADIG09_2,2,1
A. digitifera,0,ADIG09,8,0,8,ADIG09_3,3,1
A. digitifera,0,ADIG09,8,0,8,ADIG09_4,4,1
A. digitifera,0,ADIG09,8,0,8,ADIG09_5,5,1
A. digitifera,0,ADIG09,8,0,8,ADIG09_6,6,1
A. digitifera,0,ADIG09,8,0,8,ADIG09_7,7,1
A. digitifera,0,ADIG09,8,0,8,ADIG09_8,8,1
A. digitifera,0,ADIG10,8,0,8,ADIG10_1,1,1
A. digitifera,0,ADIG10,8,0,8,ADIG10_2,2,1
A. digitifera,0,ADIG10,8,0,8,ADIG10_3,3,1
A. digitifera,0,ADIG10,8,0,8,ADIG10_4,4,1
A. digitifera,0,ADIG10,8,0,8,ADIG10_5,5,1
A. digitifera,0,ADIG10,8,0,8,ADIG10_6,6,1
A. digitifera,0,ADIG10,8,0,8,ADIG10_7,7,1
A. digitifera,0,ADIG10,8,0,8,ADIG10_8,8,1
A. digitifera,0,ADIG11,8,0,8,ADIG11_1,1,1
A. digitifera,0,ADIG11,8,0,8,ADIG11_2,2,1
A. digitifera,0,ADIG11,8,0,8,ADIG11_3,3,1
A. digitifera,0,ADIG11,8,0,8,ADIG11_4,4,1
A. digitifera,0,ADIG11,8,0,8,ADIG11_5,5,1
A. digitifera,0,ADIG11,8,0,8,ADIG11_6,6,1
A. digitifera,0,ADIG11,8,0,8,ADIG11_7,7,1
A. digitifera,0,ADIG11,8,0,8,ADIG11_8,8,1
A. digitifera,0,ADIG12,8,0,8,ADIG12_1,1,1
A. digitifera,0,ADIG12,8,0,8,ADIG12_2,2,1
A. digitifera,0,ADIG12,8,0,8,ADIG12_3,3,1
A. digitifera,0,ADIG12,8,0,8,ADIG12_4,4,1
A. digitifera,0,ADIG12,8,0,8,ADIG12_5,5,1
A. digitifera,0,ADIG12,8,0,8,ADIG12_6,6,1
A. digitifera,0,ADIG12,8,0,8,ADIG12_7,7,1
A. digitifera,0,ADIG12,8,0,8,ADIG12_8,8,1
A. digitifera,0,ADIG13,8,0,8,ADIG13_1,1,1
