Species,Start of experiment,Date,Day elapsed,Colony,Treatment,N fragment,Bleached fragments,Healthy fragments,% fragments healthy,"Proportion of fragments bleached, %",Ranking,Heat tolerance
A. digitifera,28-Oct-21,10-Nov-21,13,D02,Heat-stressed,8,0,8,100,0,1,High
A. digitifera,28-Oct-21,10-Nov-21,13,D04,Heat-stressed,7,0,7,100,0,2,High
A. digitifera,28-Oct-21,10-Nov-21,13,D06,Heat-stressed,8,0,8,100,0,3,High
A. digitifera,28-Oct-21,10-Nov-21,13,D08,Heat-stressed,8,0,8,100,0,4,High
A. digitifera,28-Oct-21,10-Nov-21,13,D09,Heat-stressed,8,0,8,100,0,5,High
A. digitifera,28-Oct-21,10-Nov-21,13,D13,Heat-stressed,8,0,8,100,0,6,High
A. digitifera,28-Oct-21,10-Nov-21,13,D14,Heat-stressed,8,0,8,100,0,7,High
A. digitifera,28-Oct-21,10-Nov-21,13,D15,Heat-stressed,8,0,8,100,0,8,High
A. digitifera,28-Oct-21,10-Nov-21,13,D16,Heat-stressed,8,0,8,100,0,9,High
A. digitifera,28-Oct-21,10-Nov-21,13,D18,Heat-stressed,8,0,8,100,0,10,High
A. digitifera,28-Oct-21,10-Nov-21,13,D20,Heat-stressed,8,0,8,100,0,11,High
A. digitifera,28-Oct-21,10-Nov-21,13,D21,Heat-stressed,8,0,8,100,0,12,High
A. digitifera,28-Oct-21,10-Nov-21,13,D24,Heat-stressed,8,0,8,100,0,13,High
A. digitifera,28-Oct-21,10-Nov-21,13,D25,Heat-stressed,8,0,8,100,0,14,High
A. digitifera,28-Oct-21,10-Nov-21,13,D26,Heat-stressed,8,0,8,100,0,15,High
A. digitifera,28-Oct-21,10-Nov-21,13,D28,Heat-stressed,8,0,8,100,0,16,High
A. digitifera,28-Oct-21,10-Nov-21,13,D29,Heat-stressed,8,0,8,100,0,17,High
A. digitifera,28-Oct-21,10-Nov-21,13,D30,Heat-stressed,8,0,8,100,0,18,High
A. digitifera,28-Oct-21,10-Nov-21,13,D31,Heat-stressed,8,0,8,100,0,19,High
A. digitifera,28-Oct-21,10-Nov-21,13,D32,Heat-stressed,8,0,8,100,0,20,High
A. digitifera,28-Oct-21,10-Nov-21,13,D33,Heat-stressed,8,0,8,100,0,21,High
A. digitifera,28-Oct-21,10-Nov-21,13,D34,Heat-stressed,8,0,8,100,0,22,High
A. digitifera,28-Oct-21,10-Nov-21,13,D35,Heat-stressed,8,0,8,100,0,23,High
A. digitifera,28-Oct-21,10-Nov-21,13,D36,Heat-stressed,8,0,8,100,0,24,High
A. digitifera,28-Oct-21,10-Nov-21,13,D37,Heat-stressed,8,0,8,100,0,25,High
A. digitifera,28-Oct-21,10-Nov-21,13,D39,Heat-stressed,8,0,8,100,0,26,High
A. digitifera,28-Oct-21,10-Nov-21,13,D40,Heat-stressed,8,0,8,100,0,27,High
A. digitifera,28-Oct-21,10-Nov-21,13,D03,Heat-stressed,8,1,7,87.5,12.5,28,High
A. digitifera,28-Oct-21,10-Nov-21,13,D17,Heat-stressed,8,1,7,87.5,12.5,29,High
A. digitifera,28-Oct-21,10-Nov-21,13,D22,Heat-stressed,8,1,7,87.5,12.5,30,High
A. digitifera,28-Oct-21,10-Nov-21,13,D38,Heat-stressed,8,1,7,87.5,12.5,31,High
A. digitifera,28-Oct-21,10-Nov-21,13,D01,Heat-stressed,8,2,6,75,25,32,High
A. digitifera,28-Oct-21,10-Nov-21,13,D11,Heat-stressed,8,2,6,75,25,33,High
A. digitifera,28-Oct-21,10-Nov-21,13,D12,Heat-stressed,8,2,6,75,25,34,High
A. digitifera,28-Oct-21,10-Nov-21,13,D05,Heat-stressed,8,3,5,62.5,37.5,35,High
A. digitifera,28-Oct-21,10-Nov-21,13,D10,Heat-stressed,8,3,5,62.5,37.5,36,High
A. digitifera,28-Oct-21,10-Nov-21,13,D23,Heat-stressed,8,4,4,50,50,37,Low
A. digitifera,28-Oct-21,10-Nov-21,13,D27,Heat-stressed,8,4,4,50,50,38,Low
A. digitifera,28-Oct-21,10-Nov-21,13,D19,Heat-stressed,8,5,3,37.5,62.5,39,Low
A. digitifera,28-Oct-21,10-Nov-21,13,D07,Heat-stressed,7,7,0,0,100,40,Low
A. millepora,06-Oct-21,16-Oct-21,10,M01,Heat-stressed,8,0,8,100,0,1,High
A. millepora,06-Oct-21,16-Oct-21,10,M03,Heat-stressed,8,0,8,100,0,2,High
A. millepora,06-Oct-21,16-Oct-21,10,M04,Heat-stressed,8,0,8,100,0,3,High
A. millepora,06-Oct-21,16-Oct-21,10,M08,Heat-stressed,8,0,8,100,0,4,High
A. millepora,06-Oct-21,16-Oct-21,10,M09,Heat-stressed,8,0,8,100,0,5,High
A. millepora,06-Oct-21,16-Oct-21,10,M14,Heat-stressed,8,0,8,100,0,6,High
A. millepora,06-Oct-21,16-Oct-21,10,M15,Heat-stressed,8,0,8,100,0,7,High
A. millepora,06-Oct-21,16-Oct-21,10,M16,Heat-stressed,8,0,8,100,0,8,High
A. millepora,06-Oct-21,16-Oct-21,10,M17,Heat-stressed,8,0,8,100,0,9,High
A. millepora,06-Oct-21,16-Oct-21,10,M18,Heat-stressed,8,0,8,100,0,10,High
A. millepora,06-Oct-21,16-Oct-21,10,M19,Heat-stressed,8,0,8,100,0,11,High
A. millepora,06-Oct-21,16-Oct-21,10,M21,Heat-stressed,8,0,8,100,0,12,High
A. millepora,06-Oct-21,16-Oct-21,10,M24,Heat-stressed,8,0,8,100,0,13,High
A. millepora,06-Oct-21,16-Oct-21,10,M26,Heat-stressed,8,0,8,100,0,14,High
A. millepora,06-Oct-21,16-Oct-21,10,M29,Heat-stressed,8,0,8,100,0,15,High
A. millepora,06-Oct-21,16-Oct-21,10,M02,Heat-stressed,8,1,7,87.5,12.5,16,High
A. millepora,06-Oct-21,16-Oct-21,10,M07,Heat-stressed,8,1,7,87.5,12.5,17,High
A. millepora,06-Oct-21,16-Oct-21,10,M13,Heat-stressed,8,1,7,87.5,12.5,18,High
A. millepora,06-Oct-21,16-Oct-21,10,M22,Heat-stressed,8,1,7,87.5,12.5,19,High
A. millepora,06-Oct-21,16-Oct-21,10,M28,Heat-stressed,8,1,7,87.5,12.5,20,High
A. millepora,06-Oct-21,16-Oct-21,10,M30,Heat-stressed,8,1,7,87.5,12.5,21,High
A. millepora,06-Oct-21,16-Oct-21,10,M25,Heat-stressed,8,2,6,75,25,22,High
A. millepora,06-Oct-21,16-Oct-21,10,M05,Heat-stressed,8,3,5,62.5,37.5,23,High
A. millepora,06-Oct-21,16-Oct-21,10,M06,Heat-stressed,8,3,5,62.5,37.5,24,High
A. millepora,06-Oct-21,16-Oct-21,10,M20,Heat-stressed,8,3,5,62.5,37.5,25,High
A. millepora,06-Oct-21,16-Oct-21,10,M23,Heat-stressed,8,3,5,62.5,37.5,26,High
A. millepora,06-Oct-21,16-Oct-21,10,M10,Heat-stressed,8,4,4,50,50,27,Low
A. millepora,06-Oct-21,16-Oct-21,10,M12,Heat-stressed,8,4,4,50,50,28,Low
A. millepora,06-Oct-21,16-Oct-21,10,M11,Heat-stressed,8,5,3,37.5,62.5,29,Low
A. millepora,06-Oct-21,16-Oct-21,10,M27,Heat-stressed,8,6,2,25,75,30,Low
A. tenuis,14-Nov-21,24-Nov-21,10,T03,Heat-stressed,8,0,8,100,0,1,High
A. tenuis,14-Nov-21,24-Nov-21,10,T05,Heat-stressed,8,0,8,100,0,2,High
A. tenuis,14-Nov-21,24-Nov-21,10,T13,Heat-stressed,8,0,8,100,0,3,High
A. tenuis,14-Nov-21,24-Nov-21,10,T14,Heat-stressed,8,0,8,100,0,4,High
A. tenuis,14-Nov-21,24-Nov-21,10,T18,Heat-stressed,8,0,8,100,0,5,High
A. tenuis,14-Nov-21,24-Nov-21,10,T19,Heat-stressed,7,0,7,100,0,6,High
A. tenuis,14-Nov-21,24-Nov-21,10,T20,Heat-stressed,8,0,8,100,0,7,High
A. tenuis,14-Nov-21,24-Nov-21,10,T21,Heat-stressed,7,0,7,100,0,8,High
A. tenuis,14-Nov-21,24-Nov-21,10,T22,Heat-stressed,8,0,8,100,0,9,High
A. tenuis,14-Nov-21,24-Nov-21,10,T28,Heat-stressed,8,0,8,100,0,10,High
