Species,Colony ID,"Proportion of fragments bleached, %",Mean,Combined,Ranking,Heat tolerance
A. digitifera,D02,0,0,0,1,High
A. digitifera,D29,0,0.022864197251124863,0.022864197251124863,2,High
A. digitifera,D15,0,0.029882135534660747,0.029882135534660747,3,High
A. digitifera,D40,0,0.0369321904842331,0.0369321904842331,4,High
A. digitifera,D13,0,0.04518105615311024,0.04518105615311024,5,High
A. digitifera,D35,0,0.04552973564210155,0.04552973564210155,6,High
A. digitifera,D08,0,0.048100164966589684,0.048100164966589684,7,High
A. digitifera,D06,0,0.08123030732980281,0.08123030732980281,8,High
A. digitifera,D20,0,0.08541453417046557,0.08541453417046557,9,Intermediate
A. digitifera,D24,0,0.1082459984771864,0.1082459984771864,10,Intermediate
A. digitifera,D14,0,0.10894333500029844,0.10894333500029844,11,Intermediate
A. digitifera,D32,0,0.11406266008845677,0.11406266008845677,12,Intermediate
A. digitifera,D33,0,0.11657606726304798,0.11657606726304798,13,Intermediate
A. digitifera,D36,0,0.11708785619788616,0.11708785619788616,14,Intermediate
A. digitifera,D28,0,0.13084915670802963,0.13084915670802963,15,Intermediate
A. digitifera,D16,0,0.1597653789105354,0.1597653789105354,16,Intermediate
A. digitifera,D26,0,0.1665025416752571,0.1665025416752571,17,Intermediate
A. digitifera,D30,0,0.18852692706221827,0.18852692706221827,18,Intermediate
A. digitifera,D31,0,0.19994496351917748,0.19994496351917748,19,Intermediate
A. digitifera,D25,0,0.21089315758279326,0.21089315758279326,20,Intermediate
A. digitifera,D38,0.125,0.11164300948822983,0.23664300948822983,21,Intermediate
A. digitifera,D09,0,0.23841589166836455,0.23841589166836455,22,Intermediate
A. digitifera,D37,0,0.24406759367151673,0.24406759367151673,23,Intermediate
A. digitifera,D39,0,0.2510489326002198,0.2510489326002198,24,Intermediate
A. digitifera,D22,0.125,0.13113207222934045,0.2561320722293404,25,Intermediate
A. digitifera,D04,0,0.2682843503366258,0.2682843503366258,26,Intermediate
A. digitifera,D34,0,0.28661517055214897,0.28661517055214897,27,Intermediate
A. digitifera,D21,0,0.3591769958764625,0.3591769958764625,28,Intermediate
A. digitifera,D18,0,0.39518047226497677,0.39518047226497677,29,Intermediate
A. digitifera,D03,0.125,0.4032991986834423,0.5282991986834422,30,Intermediate
A. digitifera,D11,0.25,0.35114796479477534,0.6011479647947753,31,Intermediate
A. digitifera,D17,0.125,0.5274947108589467,0.6524947108589467,32,Intermediate
A. digitifera,D12,0.25,0.6226632543150803,0.8726632543150803,33,Low
A. digitifera,D05,0.375,0.515480185166308,0.890480185166308,34,Low
A. digitifera,D10,0.375,0.5827466944261671,0.9577466944261671,35,Low
A. digitifera,D27,0.5,0.5701656952590013,1.0701656952590013,36,Low
A. digitifera,D01,0.25,0.8205181048984406,1.0705181048984405,37,Low
A. digitifera,D23,0.5,0.6788773584142782,1.1788773584142782,38,Low
A. digitifera,D19,0.625,0.8326954676400974,1.4576954676400975,39,Low
A. digitifera,D07,1,1,2,40,Low
A. millepora,M04,0,0,0,1,High
A. millepora,M09,0,0.0927254629961736,0.0927254629961736,2,High
A. millepora,M21,0,0.09832952021460101,0.09832952021460101,3,High
A. millepora,M03,0,0.11345037519391393,0.11345037519391393,4,High
A. millepora,M24,0,0.12983264172719675,0.12983264172719675,5,High
A. millepora,M17,0,0.13139961605591335,0.13139961605591335,6,High
A. millepora,M16,0,0.14148038691364676,0.14148038691364676,7,Intermediate
A. millepora,M01,0,0.18388385210017102,0.18388385210017102,8,Intermediate
A. millepora,M26,0,0.20725251414694348,0.20725251414694348,9,Intermediate
A. millepora,M18,0,0.21512941275094194,0.21512941275094194,10,Intermediate
A. millepora,M19,0,0.22250322575741677,0.22250322575741677,11,Intermediate
A. millepora,M29,0,0.22264153821575663,0.22264153821575663,12,Intermediate
A. millepora,M15,0,0.27425637532728925,0.27425637532728925,13,Intermediate
A. millepora,M14,0,0.3027534262396744,0.3027534262396744,14,Intermediate
A. millepora,M30,0.16666666666666666,0.1485671186993384,0.31523378536600505,15,Intermediate
A. millepora,M22,0.16666666666666666,0.1606307273171882,0.3272973939838548,16,Intermediate
A. millepora,M13,0.16666666666666666,0.17820144744655866,0.3448681141132253,17,Intermediate
A. millepora,M07,0.16666666666666666,0.17872370149208663,0.3453903681587533,18,Intermediate
A. millepora,M02,0.16666666666666666,0.22583164651728482,0.39249831318395145,19,Intermediate
A. millepora,M08,0,0.3990936417624406,0.3990936417624406,20,Intermediate
A. millepora,M28,0.16666666666666666,0.25235335778609197,0.41902002445275865,21,Intermediate
A. millepora,M25,0.3333333333333333,0.20234310471192113,0.5356764380452544,22,Intermediate
A. millepora,M20,0.5,0.4119112957471153,0.9119112957471154,23,Intermediate
A. millepora,M23,0.5,0.41991403894830986,0.9199140389483098,24,Intermediate
A. millepora,M06,0.5,0.4291051884453379,0.9291051884453378,25,Low
A. millepora,M05,0.5,0.5304423232362986,1.0304423232362985,26,Low
A. millepora,M10,0.6666666666666666,0.42190409603252504,1.0885707626991916,27,Low
A. millepora,M12,0.6666666666666666,0.6052013097921557,1.2718679764588223,28,Low
A. millepora,M11,0.8333333333333334,0.9286164858884973,1.7619498192218308,29,Low
A. millepora,M27,1,1,2,30,Low
A. tenuis,T05,0,0,0,1,High
A. tenuis,T13,0,0.02236226984956439,0.02236226984956439,2,High
A. tenuis,T29,0,0.043264634536465,0.043264634536465,3,High
A. tenuis,T21,0,0.04749413893489503,0.04749413893489503,4,High
A. tenuis,T18,0,0.06375145444678998,0.06375145444678998,5,High
A. tenuis,T28,0,0.10261801358029335,0.10261801358029335,6,Intermediate
A. tenuis,T03,0,0.1045481605839649,0.1045481605839649,7,Intermediate
A. tenuis,T14,0,0.10880896535762984,0.10880896535762984,8,Intermediate
A. tenuis,T30,0,0.12438863455151383,0.12438863455151383,9,Intermediate
A. tenuis,T19,0,0.19288409368826795,0.19288409368826795,10,Intermediate
A. tenuis,T20,0,0.2111300260762676,0.2111300260762676,11,Intermediate
A. tenuis,T17,0.125,0.19315227781735686,0.3181522778173569,12,Intermediate
A. tenuis,T26,0.125,0.2014489585960957,0.3264489585960957,13,Intermediate
A. tenuis,T22,0,0.35715063485199583,0.35715063485199583,14,Intermediate
A. tenuis,T27,0.375,0.06177771279080035,0.43677771279080035,15,Intermediate
A. tenuis,T10,0.125,0.32758011839847184,0.45258011839847184,16,Intermediate
A. tenuis,T16,0.25,0.23988713650631976,0.48988713650631976,17,Intermediate
A. tenuis,T12,0.5,0.1402638858538127,0.6402638858538127,18,Intermediate
A. tenuis,T02,0.375,0.28472062761347344,0.6597206276134735,19,Intermediate
A. tenuis,T06,0.5,0.279508600001612,0.779508600001612,20,Intermediate
A. tenuis,T11,0.375,0.5665850555691441,0.9415850555691441,21,Low
A. tenuis,T15,0.875,0.8305222391338541,1.7055222391338543,22,Low
A. tenuis,T01,1,0.9157308974615574,1.9157308974615574,23,Low
A. tenuis,T23,1,0.9401052042038457,1.9401052042038458,24,Low
A. tenuis,T04,1,1,2,25,Low
