ColonyID,Cluster,HeatTolerance,Species
D02,2,High,A. digitifera
D04,2,High,A. digitifera
D06,2,High,A. digitifera
D08,2,High,A. digitifera
D09,2,High,A. digitifera
D13,2,High,A. digitifera
D14,2,High,A. digitifera
D15,2,High,A. digitifera
D16,2,High,A. digitifera
D18,2,High,A. digitifera
D20,2,High,A. digitifera
D21,2,High,A. digitifera
D24,2,High,A. digitifera
D25,2,High,A. digitifera
D26,2,High,A. digitifera
D28,2,High,A. digitifera
D29,2,High,A. digitifera
D30,2,High,A. digitifera
D31,2,High,A. digitifera
D32,2,High,A. digitifera
D33,2,High,A. digitifera
D34,2,High,A. digitifera
D35,2,High,A. digitifera
D36,2,High,A. digitifera
D37,2,High,A. digitifera
D39,2,High,A. digitifera
D40,2,High,A. digitifera
D03,2,High,A. digitifera
D17,2,High,A. digitifera
D22,2,High,A. digitifera
D38,2,High,A. digitifera
D11,2,High,A. digitifera
D01,1,Low,A. digitifera
D12,1,Low,A. digitifera
D05,1,Low,A. digitifera
D10,1,Low,A. digitifera
D23,1,Low,A. digitifera
D27,1,Low,A. digitifera
D19,1,Low,A. digitifera
D07,1,Low,A. digitifera
M05,2,High,A. millepora
M06,2,High,A. millepora
M20,2,High,A. millepora
M23,2,High,A. millepora
M10,2,High,A. millepora
M12,2,High,A. millepora
M11,2,High,A. millepora
M27,2,High,A. millepora
M01,1,Low,A. millepora
M03,1,Low,A. millepora
M04,1,Low,A. millepora
M08,1,Low,A. millepora
M09,1,Low,A. millepora
M14,1,Low,A. millepora
M15,1,Low,A. millepora
M16,1,Low,A. millepora
M17,1,Low,A. millepora
M18,1,Low,A. millepora
M19,1,Low,A. millepora
M21,1,Low,A. millepora
M24,1,Low,A. millepora
M26,1,Low,A. millepora
M29,1,Low,A. millepora
M02,1,Low,A. millepora
M07,1,Low,A. millepora
M13,1,Low,A. millepora
M22,1,Low,A. millepora
M28,1,Low,A. millepora
M30,1,Low,A. millepora
M25,1,Low,A. millepora
T15,2,High,A. tenuis
T01,2,High,A. tenuis
T04,2,High,A. tenuis
T23,2,High,A. tenuis
T03,1,Low,A. tenuis
T05,1,Low,A. tenuis
T13,1,Low,A. tenuis
T14,1,Low,A. tenuis
T18,1,Low,A. tenuis
T19,1,Low,A. tenuis
T20,1,Low,A. tenuis
T21,1,Low,A. tenuis
T22,1,Low,A. tenuis
T28,1,Low,A. tenuis
T29,1,Low,A. tenuis
T30,1,Low,A. tenuis
T10,1,Low,A. tenuis
T17,1,Low,A. tenuis
T26,1,Low,A. tenuis
T16,1,Low,A. tenuis
T02,1,Low,A. tenuis
T11,1,Low,A. tenuis
T27,1,Low,A. tenuis
T06,1,Low,A. tenuis
T12,1,Low,A. tenuis
