sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100
ADIG01,164909,0.1766778553673648,-0.029749377008708854,-0.06908832985247795,-0.009032793305911526,0.0013899022358727223,-0.006038847611203104,0.00480568077880625,0.009362358047116586,0.00889732731977202,0.0034217793857364213,-0.005796220623345811,0.0004633858726588823,-0.001752511500602365,0.00450044679932037,0.022620115134960265,-0.009321197778228393,-0.004355877548958035,-0.0019543941020409997,-0.00335875538121251,-0.006630733326493196,-0.0009453469118247209,0.004748087339338756,0.0025194846860634923,-0.002900917325608542,0.0043455413145319435,-0.00044955551696628226,-0.0007412100639940307,-0.0003518197372455126,0.0007979595277912894,-0.00042000249588021113,0.0006852242335285292,0.0001949797755987724,-0.0012497613221738864,-0.0002230896382202702,-0.00027574897509856437,8.119064606797057e-05,-0.00016840632183992614,3.2139877027125055e-05,-0.0002308123731543398,-3.329160131377922e-06,-7.363787306301472e-05,0.00011799049425580252,0.00019536470424524684,-4.486966199185867e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG02,164910,-0.07553710131303103,-0.023999527094690786,0.01405715021305018,0.03538114328590493,-0.004801259262509436,0.005573387486410831,-0.004568718122218354,-0.0047774124548187625,0.009573261516627631,0.0033403989087438784,0.0063402503870294636,0.004195160366708824,0.007127581470406846,-0.002778431941379211,0.002039626819837053,-0.001766502412301092,-3.552976097907823e-05,-0.0001971346760544433,-0.004104156109144559,-0.002935512081154104,-0.0009566762208837719,-0.00355354613434528,-0.0008866017427385724,-0.0019683453004886143,-0.001655433579957545,-0.0006795197123604161,-0.0014522106677760994,0.00020543481221829997,0.0019229165549887067,-0.0015907777807693804,-0.0017011295274832311,-0.003548397454526023,0.00019175810586967513,0.0006814654713718397,-4.108006851535817e-05,-0.0002864245376768613,-0.001956963733553006,-9.887812912183404e-05,8.199047788829024e-05,-0.0002628738378176204,0.00029709342384219063,0.00023003759306012482,-9.118740371960411e-05,-1.502989221234722e-08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG03,164911,0.3098479279459041,-0.006026450536738999,-0.018846357220433353,-0.00116103548984244,-0.018364595613511968,0.014065072194630171,-0.0005146460104688861,0.007409767352395389,0.005197285320663194,-9.132522390226549e-05,0.00022470328437291964,-0.010394625716376166,-0.006582337866460419,-0.01770114787680871,0.0014417659779483347,0.006059437506786365,-0.006611567504960268,0.00016580483224341063,0.001782840553300931,-0.01064797175271198,-0.0033774583939211486,-0.0021209961243288,0.00044216681689872203,-0.0051887419297883645,0.007898427553563157,0.0016581637639485893,-0.002107775835990959,0.0006316373188868415,0.002726850260164449,-0.0019810715728385466,0.00193278413017507,-0.00014981012382047628,-0.00155373094140564,-0.001420503162717168,0.0006123269055076132,0.0007532001775425846,0.000421991948810135,-7.786105361547804e-06,0.00015800945802295352,0.0002837864287870309,0.00014979403052827053,0.00018677316322798234,0.00026207951149034267,-0.00015749012416843615,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG04,164912,0.04928071844863078,-0.010216712920096257,-0.06369316542048795,-0.00038564669651289056,-0.03889903557840172,-0.01144989465543464,0.007656468916143916,0.0208438451884134,0.012685325955889027,-0.015327033101821671,-0.013799741130377002,-0.0060218763712164974,0.0013999157790963372,-0.00945482308060483,-0.006967667940937974,0.0009235702514236694,0.0002482815586775057,0.0013070999290912416,0.0006189918539826182,0.001507881358772974,0.002651588723856973,-0.005893047038441771,-0.002863716579306286,-0.00034301083096849327,-0.0018306432187185349,7.454007503245022e-05,0.0011317564662992902,8.330421304926783e-05,0.000332724012463282,0.0012419785743946513,-0.00023069463970476828,0.0002655893590193738,-0.0004406476041942604,-0.0001905212005741743,-2.8706078387241792e-06,0.00011407486915702254,9.341128122263921e-06,-5.200575833559657e-05,7.094306664763475e-05,-6.44896833215425e-05,-3.1690384912463004e-05,-0.00011257907022933863,-7.658838086086306e-06,-1.330685766331775e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG05,164913,-0.07060540900514037,-0.038368083970866364,0.015667621276673545,-0.013712627402205203,-0.00563420318514193,-0.0052132179881291514,-0.017840403937396946,-0.007454942737069054,0.005795806104311136,0.002041426216326451,0.005847158343308593,0.003257106229123668,0.009836324954914367,-0.006109210642109926,0.005450348079340472,-0.005012570194626774,0.0009637274211736762,0.001481821459955777,0.0022596510317443915,0.0012452847849721935,-0.0008016396455994223,-0.0016886103592283726,0.003527485053993034,0.0017807449961470944,0.00016718332222632882,0.0009428905724440073,0.004723994318407786,0.004330661714825121,-0.0009504807291062151,0.0002899389637496234,0.0035837716863852172,0.00222159347645359,-0.002390401233758,-0.0017768436494311462,-0.000793149284417212,-0.0007315232732980328,-0.0007787637737641646,-0.0007839889352914065,0.0017120842697893697,5.077637457841783e-06,-0.0008980105389470792,0.00022823769613409322,0.0001698474274226106,-0.00014143887171823874,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG06,164914,0.0575749319005629,-0.0018403076714501206,-0.03422968276105205,0.039537676100859113,-0.012455349674077609,-0.020999049213087036,-0.008037820597588423,-0.0011650565633667235,-0.029510555043125858,-0.011228334893935954,-0.008633364058652029,0.005567913200755964,-3.906485558729592e-05,0.0012968986542521252,0.005826403266136573,-0.004129385360767043,0.005948931876102318,-0.00353345959403397,0.008986785350155766,0.0023559917691658504,0.0010850942363216471,0.0007470350489483931,0.0032879463929327683,0.0014149048609939175,-0.0022566307316274977,0.0003325471673107492,0.002169494406143872,0.000498950865975895,-0.0002688677643383426,0.0011489911772761545,-0.0010375396155786597,-0.0009823933948265914,0.0007237066688275613,0.0005410047566093147,0.0002503195556550688,0.00016780833974484896,-7.798772699853505e-05,-0.0002937940526532685,0.000234804047660695,0.00019047929219173578,0.00020308967981679606,2.924996548620751e-05,-0.00010539903616385693,4.4589305187697274e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG07,164915,-0.0704872047902437,0.03811575030126741,-0.011771413731440437,-0.013249742933209439,0.011399909478417295,0.0019899851508539874,-0.008129619340624877,-0.007434747632905242,0.005584913094188574,0.009776786759522468,0.006969093658019198,-0.0022258829554812494,0.00421255554194006,-0.0016478114315048623,0.0007271141196230763,-0.0014204467298007228,0.0023935271747061275,-0.003575782453495101,0.005147613057212823,0.0010726197457813123,0.005174743359021149,-0.0008180190937540418,0.0015178269717290604,-0.0031183780387670744,-0.002106041563614181,0.005895256025839152,-0.0024073440660314976,-0.0025534638658921043,-0.00038110317017578025,-0.000900730552805525,-0.0011202657702847774,0.0010199623154868074,0.0010395271405458351,0.0005901339336838007,0.0023154933871458996,0.0014697962229302604,0.0004602383078300546,0.0006738880689023698,0.0002506545222112658,-0.0002029021103495286,-0.002184257383971157,-0.00023127268885875346,0.0004931474900066209,-9.450072270802718e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG08,164916,0.30120476364222587,-0.002403552420757732,7.43642697808913e-06,-0.0031698720397627645,0.0014059600184176675,0.00850691274382286,-0.007409953260195554,0.0002251530533391698,-0.02182686367895791,-0.003846953568186547,0.006412754219870864,-0.0007674775977059653,-0.002195249775774472,-0.004437235456383838,-0.011111453650294206,-0.024930564304756677,-0.003550827841268867,0.0039539516814102674,-0.003266401582185513,-0.002562723602212959,0.008350857266319673,-0.005843380893746331,-0.004993507374769891,0.002916013111848139,8.386833794103843e-06,-0.0018756545612155096,0.0006703742025789261,-0.0016291859748766302,-0.001416980183112741,0.0013265917446918275,-2.7780596220642574e-05,0.0003834950258525841,0.0006433041212026689,0.0010435240302061255,-0.0011783633259397225,0.0001190352058683044,0.00019286679748403446,0.00018916507521559163,-0.00012766947300626733,-0.0005559784459429101,-0.00023387832970525144,-0.0004185756123606538,-0.00012227286618553284,4.452463660671489e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG09,164917,0.38959240159651926,0.011918823646031352,0.04114423334494899,0.003287744460691033,0.011841359275472202,-0.031425749383063986,0.0006628164807615972,0.015652182542800704,0.00012748723009356526,0.002117164620446743,0.003751622107377536,0.0014411781860141485,0.001066260731251693,0.005397573017794879,0.014668864825655811,-0.011318174160383172,0.005348206632035386,-0.004840917492280421,-0.00028026123560327844,0.004332071822724682,0.0005614425831053541,0.004912130677194127,-0.009587571164857814,0.0005105069008438756,0.004341205340646887,0.0023409280837697645,0.0038920157087545064,-0.001007052694388852,-0.001467686590203675,-0.00029306945391581723,-0.0008832417976126602,-0.0010834160026715468,0.000919290166150647,0.00024526519599207017,0.0001734100870289932,-6.088544714219004e-05,-0.00040690082222051316,-0.0001235250144526063,-4.697960352939423e-05,-3.1455158136334413e-05,-7.02877339580088e-05,0.00013556295205498217,-9.023513628284224e-05,1.8071143437127525e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG10,164918,0.2710264196581463,-0.020663208279190888,-0.04985550329264605,-0.009152529995102757,-0.007993844191983502,0.013468826354772227,0.0037565373106825434,0.0050095482457351605,0.007269442128999788,-0.0072107182134615875,0.011496737191671682,-0.001525936961098198,0.002694574161733753,0.0007823967422562581,0.006175451099514837,0.002750095737412938,-0.0005283766996411345,0.00627412170260508,-0.0012095011072461226,0.0020780355065309927,0.00554667744073972,0.010691485088721963,0.01171998039686001,0.0010551449270432048,-0.002310817245852789,0.0005925982860891992,-0.0024733794415338624,-0.0005186791081146233,-0.00021645115619303858,-0.0008181732174586116,-0.0006955899193496669,-0.0027732516964003324,0.0019934727140180505,0.0004658931253325722,0.0006366173103279793,0.0005146812520153509,-0.0004461097974215769,-0.00035308831043729744,0.0001549392403619875,-0.0005841956642576779,0.0003019117272030065,0.00015271506029108597,-0.00011681769263994071,-6.451601470732466e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
