sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100
ADIG01,164909,0.27070324465618223,0.015307547394932904,-0.0805008569525518,-0.004845382530716194,0.006110891639132996,0.004565914998788644,0.0019045281915747762,-0.01581596522559019,-0.007151728282155161,0.03437750338527643,0.03569161254484646,0.01096552116244319,0.0048579765635073675,-0.004937071505092494,0.01146288545086837,0.0007475890120968444,-0.006960648599669177,-0.018586243046452997,-0.006179269662069926,0.02621555070546786,0.007978541645954844,-0.01269776269531553,0.0002884188199867693,-0.005017376646038164,-0.007649997620550075,-0.005063766264932765,-0.003076476480710868,0.0028080360927158934,0.007478205595758491,0.0007171808419185466,0.0019959592021698024,-1.4984758373136266e-05,0.001458421564365298,-0.0004239480936706848,0.0007041853350695141,0.0004126873278594281,0.00038683130675404623,-0.0003769581220401106,-0.00012842030034492807,-7.725959990590544e-06,-1.285569271772107e-07,0.00011485478936493005,7.419229014817644e-05,-3.8972052990193904e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG02,164910,-0.0563151138231966,0.08517941104151493,0.04862498312204914,-0.016919687510213926,-0.003952504898358946,0.016323077976826635,0.006955735365076205,-0.0347491900940777,0.021787359040963343,-0.006042353755652618,-0.002704702356867101,-0.004143102754707351,-0.0007150095528809612,-0.0012060429679160828,-0.022654414774487888,-0.003640849296849035,-0.003733919623571726,-0.00511786781042584,0.008318378267912372,-0.0011984700259736528,-0.0026076500401220836,-0.007819703778672313,-0.0020478165696002546,-5.612535835582703e-05,0.002113168130329503,-0.0005619674652428413,-0.0013926842513020848,-0.003650248009853738,-0.0012411021195960713,0.0008205136022781497,-0.0005722498111537665,-0.0009769288150969686,0.0010547769167263364,-0.0008892107611507506,0.0012243013011054575,0.0013391007763946178,0.00015912693378406675,0.0004400271058791096,2.556760016511389e-05,0.0006500333929893756,9.823293521663134e-05,-0.0005241125910454741,1.784423035544288e-05,-9.82890488072475e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG03,164911,0.37837745504229214,-0.013654830861984947,-0.01787935708258297,0.015611384908579133,0.01071481453718148,0.0236736554005115,0.008565813444959677,0.002581702384794377,0.002163776698168945,0.006837772984143638,0.01783301318997706,0.006648787750263605,-0.02654487638693682,0.004248531535251267,-0.015495885660199786,0.007252920819828267,0.005784970973428171,0.024150465524163327,0.009834030193418067,0.00926406288213765,-0.0025204194246778036,-0.004212352774116824,0.010377004365640602,0.004294484759019592,-0.006397122989812343,-0.0051874403862582396,-0.004657494001506975,0.004576924174882359,0.005609613874203194,-0.0005726538438348492,0.003657588548680239,-0.0009412702658925376,0.00033588986841577497,0.00019118041475402894,-7.615591430921443e-06,-0.0010531353708061442,-0.0006702890530916286,-0.00015196460647386373,-0.00034545053829574437,-0.00034520410155927894,-0.0001256828710337156,0.00027560997434834605,0.00046160723933034704,-7.887722938223362e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG04,164912,0.05637108052784084,0.023805542013262015,-0.09872445054624253,0.015900072914586467,0.016175947786441394,-0.016063780034192725,-0.044207986375537876,-0.0073000878023399595,0.03671153471010582,-0.040624895630849034,0.014925385809427183,-0.03549116647876465,-0.01610182033786727,0.014437212754282064,0.006484830356435941,-0.005709489886473151,0.011274926622539701,0.008531560088459575,0.009317830072604338,-0.01450248165121576,-0.002422125121331048,0.0029320154372431575,-0.0016761743992913243,0.0013090571080958148,-0.0038637665463486354,0.0035718879776102134,-0.0016471085902206323,0.0003843340277014083,0.0023202762586917833,0.0008054293927287749,0.00021662922335056827,-0.0006210933948553629,0.0005980393769380764,-0.0005291675380044031,0.0002546142059499734,0.00017501990227764808,-7.349077534964933e-06,-2.371263472080685e-05,-0.00011516169726100096,5.437506321476745e-06,-0.00012136742106759054,-0.00011840413243957573,2.1470773564956737e-06,1.3899396641934197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG05,164913,-0.062098482305205926,-0.028819010923041805,0.012901171754029005,-0.014559596981813966,-0.030670025920650754,0.018855506214126627,0.0043768846160822305,-0.017618331598448063,0.011163591824631152,0.006041507676935986,-0.001505258747067437,0.004736392634825747,-0.0030621002988933783,0.008580938699966083,-0.013457803260400712,0.007707816999841596,-0.00019765508850814244,0.0026378876529183823,-0.008687592815554993,-0.007196160790626393,-0.0036350637937198173,-0.0028259425196457784,0.007344126498068979,-0.005150005841896541,-0.010377244963774197,-0.0021652464352052763,0.00415366827877539,4.0274121333918465e-05,0.0005219700551871918,-0.003325081471576318,-0.0015588297323930916,0.005512048551155276,-0.0004379401512488585,-0.000988031481537925,0.0012856181232003513,6.913359256927145e-05,0.0010180974691180256,-0.001964189814216564,-0.00010692280831704392,0.0003017215001761488,0.0005080908840206682,-3.193421890811403e-05,-0.000107012893619586,0.00019591894893478164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG06,164914,0.10547857580397252,0.11707198800217898,-0.06199318813610409,0.01589265643083299,0.0003819100096406839,-0.02600401110462189,-0.037013372556059555,0.055121044338253364,-0.005104510980629647,0.030368854226244343,-0.019504101476326138,-0.009854729031853264,-0.01589799489387903,-0.009331223401952686,-0.0008179201154920222,0.008574466222821353,-0.010892431663799315,-0.01363586849966941,0.0024860737259664316,-0.002213254965433824,-8.598549464794937e-05,-0.0038793592547927344,0.009040058734251998,0.004702222041395589,0.0005396999897393414,-0.0007627613488930565,0.00165763341623736,0.002102590106641771,-0.0027320745673429297,-0.0009508398775457507,-0.0014162387834543637,0.001868618001918179,0.0010323215217823555,0.0004304525175658657,-0.001498954366649068,-0.0006847131769422815,-0.0009152047427478961,0.0010973555238574684,-2.99406373990559e-05,-0.00026190613255476215,0.00030963344967703933,9.501056533051584e-05,7.528149069781039e-05,-6.093799453542743e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG07,164915,-0.0705146499235487,-0.029963991005322793,0.014290363891744118,-0.03955762402330188,0.02963900936386016,0.015055574217322764,0.016051945209615833,-0.007146987059415468,0.0011312603617960805,-0.0029654537114180398,0.000968679764233705,0.003300919412119194,-0.005350556103343387,-0.0019372913743769848,0.005216589834244793,0.008345858400719127,0.0013771835018712264,0.0019100413685670759,0.008026631298589748,-0.004741855665604186,0.0006400692888002997,-0.00017025771252726857,0.0061769465311464775,-0.011171802843384076,0.004323710199250633,-0.0022314879318940085,-0.0028059923873426456,0.0035878123390185247,0.002690558708821429,-0.0039037941307652644,-0.00016431007835118505,0.0028089189417830813,-0.004025743167427293,0.001373970175822143,-0.0014834917315333378,-0.004390113417051251,0.0011151100998099794,-0.0011945741813642022,0.0022638737904619095,6.023693004721292e-05,-0.000203658728203447,-0.0015480470998100054,0.00016465151608174682,-2.9436012903192912e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG08,164916,0.33653428634325827,-0.006456354144623948,-0.03406443908302021,0.006303149393949204,0.008526705320713325,0.040219025480865055,-0.0005772344836247634,-0.014020578400053127,-0.017587814051212753,-0.029567848508613857,-0.08265188335499632,-0.01870611532252912,0.00012064768778086697,-0.01026750735716552,0.00029389851798739507,0.0179454155717344,-0.023249364635805143,0.0021714511233704077,-0.0066177820902532545,0.0007646303857098926,-0.003909240246415296,-0.002873839020603721,0.002751435057316261,0.0004058265518480133,0.0017016520431953246,0.0018045723474394112,0.0019909989831389586,-0.0012795274581209393,0.0049006535858693665,-0.003485881940014676,0.003561497594479982,0.0008340167156857747,9.30162415860585e-05,-0.0002111014986694321,0.00012599663148696576,0.00015998451026206706,-1.4958500929172969e-05,0.0005546300598041106,8.249214821138117e-05,0.00023585693256688867,0.00017991846277829002,-1.3660060117388723e-05,-0.00023113489687234261,1.557893148271199e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG09,164917,0.41248410219880544,-0.029088439478961427,0.029868130767752337,4.7034035322234453e-05,-0.012250023271811426,-0.06009105162100404,0.01277749565309549,0.006358058445717541,-0.016669630290758106,0.03689892918842079,0.0134847307350685,-0.022653501429890727,0.03289120017801228,-0.03968196227675125,-0.004899274418427418,0.003286508325602802,-0.029197611741556054,0.0011657225277403717,0.004019313985203607,-0.018279571529474146,-0.0037782374115768024,0.0004831167413592815,-0.00446529103649423,-0.004555070654662073,-0.0021826192328056305,0.0035302405855030636,-0.0018403544816688485,-0.0037387091211310113,0.004013565542560911,-0.0021768516624978327,0.0028597351418547514,-0.0003846669842906896,0.0005486891748974741,-0.00038067621150836474,-0.0004431949504671915,-0.0005071375515699867,-0.0005529785599070541,-0.000198418855020318,-9.8541652459902e-05,-0.0001952318886527321,-0.00017682476483183452,0.00010850136581297358,0.00024796504113890744,-7.56723991916697e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG10,164918,0.3608226587394704,-0.003826116369636801,-0.06414615006714793,0.030229772423558857,0.01971334358867641,-0.011639166982382083,-0.02078618891745657,-0.020007283552339467,-0.03947401836475041,0.015223670162694143,0.011383618362252287,0.01042359371443919,-0.013860721000668434,0.00036034143505517155,-0.011152051814243225,-0.0027532892220946646,0.008997855726730675,0.0193794155213602,-0.00034021354071363973,0.01583975514400369,0.0003154275825397027,-0.002880146443199808,-0.0012394473465020574,-0.00010694696800209115,-0.0003735038165020263,0.0028632381362815235,0.0032069933631229354,0.0018906893765804184,-0.003416296590946973,0.0014465099797580487,-0.0053867948523383165,0.002410579670165754,-0.002049604753960138,0.0006392964852034949,-0.00022768849735024438,7.276548968783692e-06,0.001222659516261934,0.0011685948149337752,0.00018176761261775047,0.0004997531063850843,0.0001637283530832876,-0.00037980843292596806,-0.0005485491265346691,7.93378191246218e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
