sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100
ADIG01,164909,0.0989040921961143,-0.05127225643638237,0.006946399557753992,-0.007150170102517235,0.004691508347479293,-0.00607665354649086,-0.0009054719561022294,0.002397454754501217,0.002924740121002579,-0.0006240424269962481,-0.0035516652267323723,0.006109750078361531,-0.0008132802512936609,0.0017620920262432184,0.0007136580992973006,-0.005336619331753113,-0.002679186360947712,0.0006265530162100794,0.011426891412027608,-0.0031155948753211473,-0.004768324883214564,-0.0056019096370326805,-0.0001312873949588562,0.00174044290957336,-0.0006625824546493612,0.0011392258546510717,0.00036123561520420405,0.0007068881219169531,-0.000191277237768856,-0.0001990728283882575,0.0008056936220912427,-0.0002549468345694581,0.0002187825043410495,6.830820039589645e-05,-9.336264275348297e-06,-0.00014797715398079576,0.00019603931381889457,6.056471365363419e-05,0.00010435881769206143,4.564720849083251e-05,-0.00011095505854679382,1.0202298124299683e-05,1.2272835447572697e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG02,164910,-0.03536691132836046,-0.00028904385708055676,-0.02347248947122024,0.012537464003189025,0.004755842156348025,0.005400011417991211,-0.006861326959068543,0.007090310191387043,-0.0050320280941311205,-0.0011229908566827704,0.0012284746010242924,0.0012461600854835463,-0.005136720506835519,0.006542881325682986,-0.0012531110234454898,-0.00154850274526119,0.00015981101924707712,0.003325425023477377,0.001525936417867463,0.0034768865594571653,-0.0005206637607993303,0.0016668463285491265,-0.0019794002906365804,-6.424188226732933e-05,3.735942721807557e-05,0.0004628133572603152,-3.693184423033919e-05,-0.0005927260119483151,-0.000636185387620818,0.00035194507440612394,-0.00041843172662012586,-0.00048392842047184946,-0.0005503243965166034,0.0005924877984720906,-0.00046857565137631513,0.0004082629955371998,0.0003178164198310545,0.0005069464786469759,0.0003309719191134585,-0.00028748831655586564,0.00021116790174555367,9.253627678807055e-05,3.330607537095427e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG03,164911,0.18061740819288136,-0.014867171474458039,0.008676010473432414,0.007108104525750949,-0.013909363643168346,0.006831103906125711,-6.160600782912205e-05,0.007953130913932857,0.002557101408042401,-0.0025689677447724196,0.00707745147544692,-0.002845056949289272,0.0034544444116184187,-0.0026512950742202824,-0.0011040938597430235,0.003973104381251979,0.007487314215864967,0.005869175205259499,0.008793413367952812,0.003296411592357965,-0.0013862420553840662,-0.005506612165579928,0.0024700133397412296,0.0015530733815785048,-0.0008942524836389175,0.0013450236279468402,-0.0004352999787198121,-0.0005360385599206742,0.0008010635538808915,-0.00024670723439290996,0.0012413546334934702,-8.086814858030359e-05,-7.956857878085621e-06,7.54464685433875e-05,-1.9836065577796226e-05,-2.834243323358491e-05,2.1647601388486676e-05,-6.444454371172465e-05,-2.528649506502558e-05,1.5998831103735923e-05,-3.274991499664842e-05,-2.2726886890260212e-05,2.0529170929488567e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG04,164912,0.023913758450727417,-0.04253989306540225,0.010493440702385273,0.012523863975113077,-0.014900241928769249,-0.01648032201215179,-0.007671492166823829,0.016108741149025444,0.006500941054480551,-0.00947080204244548,-0.0014585675688610475,-0.004385734961459189,0.006533532865551501,-0.0002212928103007425,0.001385202628784228,0.003446611017784191,0.0028688252647592607,0.0019321210436598084,0.00021936774774963574,0.0019692194668206914,0.002309913782399002,0.0036273787710825404,0.00020641006485517418,0.00013051060820779833,-0.0007014641457510584,-7.593229917486334e-05,-0.0003065230878188455,-8.438489733862823e-05,0.0001433395858997958,0.00029684329177574655,-0.00016550711449846232,0.00024248480173042253,-0.0003213759139256667,-8.057490631149709e-05,4.957910245047759e-05,0.00022917984411746124,-0.00014139543346466734,-4.6836166122381506e-05,-0.0001342775534499553,-5.742638630307193e-05,0.00010045432396976711,-1.4924746899911668e-05,-5.771938050878954e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG05,164913,-0.021839719599327442,0.00043282248666194113,-0.001954916879682345,-0.008952127308277645,0.001692938817269138,-0.0006741407061029241,-0.005342399636027454,0.002366421898036762,-0.00831027608702465,-0.0004190034967883646,0.001999470440114859,0.0019215332630798342,-0.0010978791239330905,0.0049218174732107494,-0.0038178343745010074,-0.0013856864807326856,-0.002141557345239935,0.003383646637591145,0.0002183511017980981,-0.00020379464123571013,0.0002590910443664095,-0.0010124409348323967,-0.0009089731572690343,0.00053433375219572,-0.0017116574769869427,-0.0017671018002688144,-0.00100131810716324,0.0014713518859509887,0.002645475758824669,-0.0006080499870909627,0.00043621055675005396,7.413265716606628e-05,-0.0004003224741080179,-0.00023467548014581124,0.00023264173249768513,0.000521798893403419,-0.0010666262206729894,-0.0009446405665005296,-0.000369701444432597,-4.098964443368797e-06,0.0003689004764992891,-0.0002290579283167947,2.7145065109495613e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG06,164914,0.029757259228974417,-0.021538941292138566,-0.010914257690511058,0.026373470172282646,0.004747693291348134,-0.015530839614033544,0.0032918289469014315,-0.013833713232397757,-0.006482181099457742,-0.013411585720775674,-0.004105101548941843,-0.003291913982951006,0.004345850171216544,-0.004854824768748587,-0.0018110036332527526,-0.004096929935506168,-0.0008237582643032027,-0.002891931676547304,-3.691245015565249e-05,-0.0009469230028240609,-0.004453004771752837,-0.0018973969522500542,-0.0014769065534904744,-0.0019366865236986942,-0.0009091298188535849,-0.0009236702401829036,-0.0008281857409241922,0.0005894350490941867,-9.8097595973337e-05,0.00023057753243636882,0.0002320120072475589,-0.00023822403840246154,-0.0002808562133217315,-8.679588514175431e-05,-8.208087434882297e-05,-2.986736886046291e-05,-4.914317090567713e-05,0.00011464639570856378,0.0002199267091742756,0.00013771662694197196,-0.00011611323183163506,2.0332659593788667e-05,2.2449580381077554e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG07,164915,-0.04831397556463659,0.0047802232425583875,0.01956354633671417,0.00022951206021157763,0.010863654251318347,0.004750195527183393,0.0022393414292958646,-0.0004594399836202233,-0.002232764129753697,0.0026316824500847978,0.0012546968607384326,0.0011182771770315112,-0.001434753983172495,0.004094062723485473,-0.002427941252935868,-0.004945091777021547,0.0015289250080376873,0.0013530529725975218,-0.0005063782038081306,-0.0016994580321899766,-0.0007022060516113541,-0.0014615873384338687,0.0055364840299833625,-7.9740077066013e-05,-0.001297901196770532,-0.0013192497200192129,0.0020242908426048563,-0.0008302085537576188,0.0017419660882801997,-0.0014396141310819024,-0.0007351828742613365,-0.0018839017849050718,-0.0011855829010838706,-0.0008558802385142762,-0.0008669873327715849,-0.00030362359398171846,0.00034423849723079047,-0.00032621850658700767,-0.00038650059301653016,0.00020610997254445995,-0.00012499884683380577,4.207991708054165e-06,-4.4865255316368225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG08,164916,0.1744378873959777,0.0024783184279502366,0.003206037448061085,0.004194373349356599,-0.007776901587588291,0.005316519145339426,0.005820051777437119,-0.0036729673624472984,-0.0038314577660593036,-0.0031431096007699523,0.013589959149487312,-0.005394720527892799,0.0019480350366469792,-0.005767120798259863,0.004717873850239076,-0.007595580376043221,-0.006858708925821464,0.00024583008238669913,-0.0011129376963114326,-0.0007192799551962129,0.0011163923124458026,0.006417147963458268,0.0003182988985586431,0.0009076920463457959,-0.003087607357678266,0.00019558549152780716,-0.0013283925474474989,0.000194884019688343,-0.000504907132050637,0.0003067061121265683,0.0003966478835399159,-0.00011838362440732632,-0.0002526206055484077,-0.00020720030676659893,0.0001847593839077223,0.00028160902331759557,-7.257833377232309e-05,0.0001304343743769287,-0.00010837054981933833,-8.7043390853041e-05,6.986042002813261e-05,8.880266283177866e-07,-1.962471488044804e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG09,164917,0.23175702097522247,0.027354780891171264,-0.0031851919199439725,-0.0027967585808643613,0.006213589692958664,-0.013745906515609457,0.0115581043631586,-0.00520536137874834,-0.005494332565988536,-0.0042179762995986254,-0.006860029691805881,0.011090443112401201,0.0030009749632588945,0.0030762043705850894,0.008617560764538337,-0.0040703365661923,-0.00476702971498793,-0.002077831708895264,0.007015021408772448,-0.0035738129747715963,0.0036917268082974778,0.003398072688836771,0.0010048967828195487,-7.441150966312719e-05,0.0017811819760077518,1.2302225273965501e-05,0.001034403238786351,0.0005253833931994325,0.0002449833149579841,-8.520956875028896e-05,0.00024067124899521683,5.4094600529458126e-05,0.00016924828966699386,6.508020052881479e-05,-4.972341535990482e-05,-0.00010743670073354325,-4.377015098210032e-05,-0.00010693716825238008,0.00011733000226161738,5.3689727610017885e-05,-2.6284769308763514e-05,1.0019960176411562e-06,5.77859758879545e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG10,164918,0.15352725573288514,-0.041699723882658406,0.008593783995783649,-0.004492730560931766,-0.00496658305658059,0.006790815729743244,-0.002338135299429712,0.004749243990648117,0.004301546552683474,-0.0044670061619405815,0.0035748026102098156,0.009874737187706886,9.122132887993725e-05,0.0008995747055153152,0.0005980830900588704,-0.00337876242201202,-0.0028143750013029014,-0.0027932137473268034,-0.005845882710951142,0.005468766698901664,-0.0009661564945666982,-0.007102238804245655,0.0003655191644934188,-0.0008985398777654977,-0.0015530739737031687,0.0008563822589221029,0.000818995866496903,0.001278289492792861,-0.0009694723038458729,-0.0002984520557182929,-0.0007927294533376669,0.00010993918490799158,0.0004482507566815809,0.00037538912676050623,-7.79210919917858e-05,-0.00012870534032904485,-2.7537557273738156e-05,-0.000273742002315376,0.00011494393453547146,9.679867899548963e-05,-4.5453774065713837e-05,-1.7940504592238088e-05,-9.957747250206898e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
