sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100
ADIG01,164909,0.14901862352448872,-0.06788690570051376,-0.04424121291630493,-0.00312159446406112,0.005250529943763129,0.009995384726131996,-0.005291996899157129,0.004951911676158525,-0.0018122724818131672,0.012517369240990372,0.01252694791663634,-0.019465816398659113,0.008132194229400688,0.018161937909104867,-0.009864475648359051,-0.01715301745964849,0.005538593483622344,0.014107505680391654,-0.010042629739607416,0.001285659231741693,0.0032632605294833357,-0.0013706941579762026,0.003933722339375512,1.106870146043727e-05,-0.0015157103860261665,0.0064148294690577175,0.00025873183256129497,-3.7655293505487124e-05,0.0007677840007365763,0.00248722749250525,0.000296918300174874,-0.0012954444983781027,-1.09631251483564e-05,-0.0006328862990217422,0.0009088725079759548,-0.00047020229401335915,0.0003022191550632573,-0.00018988071788034492,0.0002306992198796468,0.00011194080225675464,-6.986096859298692e-05,-9.991216277562335e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG02,164910,-0.031001278762200785,-0.027223025177090625,0.06842228690863517,0.013512957205303698,0.00817093198490277,0.009023566360385198,-0.004414508793720183,0.01688444843563352,0.007291452075019025,0.014696410424502402,-0.007051313911850387,0.002963741584680114,-0.0013053002243811253,0.011627285654961772,0.005996407702308519,0.00987094091474866,0.001999238379765215,-0.006556456069189636,-0.0027828066416496254,-0.0006724375691811836,0.0067434927259477076,-0.006181494788122392,0.004910435621056792,-0.0012602875609377376,-0.002272685899337463,-0.0013596740532174551,-0.0010356232200939481,0.0008646363549715492,0.0008002987221570714,-0.0001539804783026907,-0.0010072110261551738,-0.0010785690833327538,-0.0016887673523702169,-0.0013778434325166357,0.0010945495053832752,0.0006958747381472733,0.0010880925731039967,0.0003833928421130166,0.000609405119368962,0.0005131796121902827,-0.00024133184400594774,-7.375945893983212e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG03,164911,0.2551279127447555,-0.027430430210250604,-0.028387687152366045,-0.021061057841666744,0.00882895521850288,0.01470921509529148,0.007057477242179572,0.014411048378248855,0.015391076734823615,-0.019446664688576094,0.009809316296698662,-0.0010060126377471727,0.002967654478966614,0.0028061011495326836,0.008924147657983434,-0.005163889987606166,0.022472660684108362,-0.007974254066834385,0.0025549324816594686,0.0029880488990571014,-0.0020007254501124387,-0.0035489491739002653,-0.005302857994835685,0.00036093097743575725,-0.0018220002265925187,0.005856733233616111,0.0013745600163015377,-0.00026838192891538997,0.0010475526897634605,0.0016843861268339797,-0.00022939701396844123,-0.001475224447541623,0.00015500389161068846,-0.00011626851748468124,0.001153697535235797,-0.00029749400741965764,0.00013080001189563428,-9.382629403113944e-05,0.0005752165763678328,0.0002863453991610133,4.138646690641013e-05,2.432816431107654e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG04,164912,0.0233344367893674,-0.06072252891736357,-0.030079511489663584,0.0012652246108466984,0.0014638983266986234,-0.007580927576678881,-0.012072406460247551,-0.03139925531597618,0.03010195915095475,0.022266218181959417,-0.02351001260433142,0.025191479390134858,0.024724657475201754,-0.004439617110563425,0.000342147788602071,-0.002274244070405215,0.006092596176922784,-0.004556049309786917,0.0069536301692663515,0.004063120562080223,-0.0065944021198876155,-0.000989330756745286,0.004530547649830645,-0.0012174240973659256,0.000538512567471234,-0.0014155310131162726,-0.001633222380052738,-0.0002696736626429337,0.0008096845147001514,0.00020269340100931933,0.0003296276564268555,-0.0002430382636748677,-0.0002973930128675709,-0.00027616366474623815,-1.1299451065978622e-05,-0.0002954016082234085,-0.0002684132650443959,-8.082881038855546e-05,-6.54193586055402e-05,-1.2882369268110814e-05,-2.1302815169457706e-05,-9.588501825321915e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG05,164913,-0.013316496088249615,0.0213538712848648,-0.007090416542367474,0.020831791887523494,0.01594708519980585,0.008204432021963725,0.011209694709549552,-0.00023698705353334513,0.00661874165668054,-0.0011697240039309094,-1.6314365259452485e-05,-0.0014352157297329977,-0.0030242422306879083,0.01465894678721195,0.003043044090973652,0.006082810442074512,0.005104323254533615,-0.0024053839097923995,0.0043565199821020625,0.0008103959873570942,0.0023445971049143384,0.0017612392901385904,0.0013716048961348456,-0.006136988909888195,0.005804482535918245,0.0013285601806543083,0.0013461434579778385,0.002239345003016171,-0.0023687973479963862,-0.0008018124707963552,-0.0002446871240857624,0.0036344943158883223,-0.002547466217581669,-0.0006623151115138966,0.00037031520599920795,0.0006643843905965586,-0.000639456661036384,5.970903957702908e-05,-0.00044074987082478033,-0.0006160742302412647,0.0002046154595903975,-9.131779682263757e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG06,164914,0.035560879671286606,-0.09388094377240212,0.024647492969506753,-0.004892600813049544,-0.0147057007694574,-0.020550944358783255,-0.00017461825077506957,-0.04424922948469444,-0.007402494353396974,-0.037274495750264924,-0.004899080276172812,0.003400956883583973,-0.010650787507546377,0.02294767019326588,0.007356886618306165,0.004908470558511216,0.0015116327693326073,0.005775534834560648,0.002865366733353136,0.001150617385353194,0.0035997650007889835,-0.004534352855586555,-0.00040568287458878386,-0.0008128910825819769,0.0005431648173698559,0.0007461316613279818,-0.0009494431394880304,0.00012397955770362035,-0.0011252380232484641,-0.0006190259723258491,0.00021010716190738443,-0.00017454507544564926,-0.00012185070801828851,-0.0001014588417131271,-4.798474627092571e-05,6.12653757274037e-06,-0.00013372900270009868,-5.190629779821994e-05,-6.102659428258223e-06,-0.0001091449021536441,-3.37728614338322e-05,1.9520493750483322e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG07,164915,-0.03852910210969197,0.02205181060526615,-0.012239602929817408,0.014925981663252392,0.014922050722222701,-0.005553929385981193,-0.005575606391639807,0.02088195170469214,-0.005535428433109463,-0.011884519522280253,-0.0007323196038144428,0.0010488465453077746,0.002002522699008389,0.003297894904670827,-0.0029276324808947675,-0.0006405986325428527,0.002925620415594558,-0.0030518920888407113,0.00897878593957225,-0.0054503800092561994,0.004113422457731359,-2.0178137032456734e-05,0.0011732400002002112,0.0008601048436950639,0.002254518097008659,0.0003183516703197055,0.0013948191894757058,0.0002503560991250117,0.0007760071799915752,0.002862634793901217,-0.001347463214940536,0.0005176802674666326,-0.0003748110851949875,-0.001446531680841788,0.0013797942944903559,0.0010913491119644478,0.0004921458305130694,0.00010157807332959252,-0.00017323604718424146,0.000981228018436547,0.000453212292270256,1.4347823604717702e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG08,164916,0.23085366159139808,-0.013375301569592607,-0.015370084984081352,-0.01362804419610719,-0.001640012667424492,0.01247408818916908,0.00839925227953862,0.008625816197123035,0.0019828478245971742,-0.029700370861130775,-0.04657670389449801,0.0028671494021718026,-0.01872324805933586,-0.012942650840772951,0.005959203390597787,0.010198712970046386,-0.012985862247389018,0.003082811781845598,-0.0010323094475304445,-5.450060359760663e-05,-0.0005341827789296066,0.007945313793010566,0.0018785701795475268,0.002484219186737648,0.0015038443089607778,0.003902902822803105,0.002755077688374703,0.0008610107881263731,-0.0008179440327254467,0.0003311441458468745,-0.0005945866258498183,-0.0008422282681454067,-0.0008856100045764914,-0.0001186624420649959,0.000515697966731918,-0.0002734267745049825,0.0006094567816456363,-0.00024298172206968198,0.00011995744575291127,0.00010217641900531778,2.65952645203522e-05,2.0072915785256774e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG09,164917,0.3248604688795749,0.026973902937488043,0.002247958188962231,-0.008007650286485365,-0.019735992835094595,-0.012812020197699513,0.007383477055675207,-0.025390437267549873,-0.06620124589915943,0.015568999456110396,-0.02114462028622085,-0.02289299359933177,-0.002158343410270664,0.00214911400182662,-0.008024219500868577,-0.010244295887648238,0.002454447738978513,0.0008382328390684435,-0.004048455326381042,-0.0010891433753884498,0.01136181744350941,-0.0005565217901683123,0.00306748604773877,-0.0037515678587015035,-0.0015495855081188387,-0.0026822175375400084,-0.0009441223892196122,-0.0011210389055626888,-0.0007588692006335474,-0.0014613897037950873,0.000649797947703522,-0.0009963864751523985,-0.00013249640855085264,0.00014300583387055155,0.0006621429165846863,-0.00040949523461085056,0.00010458226793404527,-0.0003444520360492119,0.0002640957893378085,0.0002376790437065846,2.1651646259934967e-05,-2.0769238306670476e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIG10,164918,0.22350787444381706,-0.05908208075814163,-0.054642423542081466,-0.023369779858592014,-0.0021881001148679447,0.043442011213661154,-0.023049599820302986,-0.0020496681040681384,-0.00010818147058692079,-0.009730152916056889,0.020925729745167945,-0.0034011724513783492,-0.009706119638113148,-0.011248857492679962,0.0016573638049879815,-0.0021925395212654877,0.007981322917680484,-0.005658464560963164,-0.009111944236403116,0.0010898183019031425,0.0005014929883196506,-0.00030256313530435143,0.0011251166447359697,-0.002215792559112755,0.001529400834774459,-0.0017811422093618838,0.001398561931080428,0.0017016567485090798,-0.0030489253516120707,-0.001571220432491897,-0.0006582190997494485,0.0004134635630234018,-0.0006418694421576656,-0.0004397565102699319,-0.0007841696164409607,0.000672237627057937,0.0007254820633938926,0.00025057276853665794,-0.0003350079659263654,-0.00013575983027480103,-3.502462827240389e-05,6.969710012785397e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
