sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	C3u	C3	C3xu	C115	C21ab	C3xt	C3xv	22573_C	21841_C	C3ge	C3b	C3bn	21495_C	375675_C	101771_C	C115g	C115a	3176982_C	C3ro	C18a	103089_C	25878_C	C115e	C3kv	376531_C	C3gj	374292_C	9772_C	25305_C	22875_C	113196_C	101112_C	374365_C	D1	D1bj	D4	D2.2	D1c	2450882_D	D17d
164986	ATEN08	ATEN8_trim_1.fastq.gz	2ed17146f14efe6c974d50d563208be0fbf3e5b49468e75ccf542195723322ca	ATEN8_trim_2.fastq.gz	c066a8b39e7ac9cee3b06d06e3c8b750f39580ec0967c31f2fb4a1e0ea886de3	835	20230426T085852_jquijano	103692	98543	732	98461	724	82	8	0	0	96327	5	0	0	635	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 tenuis	16.29473000	120.01448000	20211113	NoData	77971	4402	10049	3270	0	0	0	635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164992	ATEN14	ATEN14_trim_1.fastq.gz	85b6e76e69157b983699405bfc98570c9c074c0830b19af0910f639497e2d7d9	ATEN14_trim_2.fastq.gz	6907897e29e45a59cab9d9d359342f231c19e46923cce6163ab9fbec65d0b63c	835	20230426T085852_jquijano	87524	83095	633	83040	629	55	4	0	0	81498	5	0	0	556	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 tenuis	16.29473000	120.01448000	20211113	NoData	70373	3756	4266	2547	0	0	0	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164988	ATEN10	ATEN10_trim_1.fastq.gz	88d9549a879e318488e4aba29a979dd721ed1cb2f28096a3acbe5f3265f5ef21	ATEN10_trim_2.fastq.gz	7aaba24c08b800e060f95a2695af0811af8e1490c8fbc9bb57475331a24f3b29	835	20230426T085852_jquijano	109829	104194	768	104026	760	168	8	0	0	101571	5	0	0	753	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 tenuis	16.29473000	120.01448000	20211113	NoData	78484	5177	13518	3639	0	0	0	753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165006	ATEN28	ATEN28_trim_1.fastq.gz	a655337a236a6dd0591a8d32295e362cc02f4b98bbdad8fe6fd4f9a0282ae8c5	ATEN28_trim_2.fastq.gz	58a0a506d82ae6206c5eea9d5ea1d19a3c0284c10acb6cb4ebfe1c794303fd50	835	20230426T085852_jquijano	100078	94630	745	94583	741	47	4	0	0	92421	5	0	0	722	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 tenuis	16.29473000	120.01448000	20211113	NoData	70459	5324	12655	3261	0	0	0	722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164965	AMIL17	AMILMAGB_trim_1.fastq.gz	d744d02006e6ed0d5a4b10aba92e99dfaea341d9c49ba6c61f32a095a0127c4d	AMILMAGB_trim_2.fastq.gz	225d5f00ebb55b7c94a88f5e7e9f131d3e3f03ba58315bcc2b14abab1e37c481	835	20230426T085852_jquijano	96721	91096	778	91019	773	77	5	0	0	88797	5	0	0	694	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 millepora	16.31487000	120.03128000	20211005	NoData	66765	5716	12100	3522	0	0	0	694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164953	AMIL05	AMILCANE_trim_1.fastq.gz	72ee5b7864aa8065ae1f28e6569c6d49950696fd965c1d7ac1a4033647ad84b0	AMILCANE_trim_2.fastq.gz	fbe8cbaa543bcd19b38d51c3c8a13ded1eb4d0c47d44ca8b24d1f78111a52679	835	20230426T085852_jquijano	106879	101405	839	101299	831	106	8	0	0	98819	5	0	0	810	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 millepora	16.29466000	120.01467000	20211005	NoData	71541	5225	17849	3394	0	0	0	810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165003	ATEN25	ATEN25_trim_1.fastq.gz	a96182d7c531e12271a76330b12e8a983d9e1d79c118285d593322765043aeaf	ATEN25_trim_2.fastq.gz	cef2fe0e88987985d81c2624ff867d6ba9d4dac077f01bf1f55d4dc916790b7a	835	20230426T085852_jquijano	73767	68974	659	68908	655	66	4	0	0	67713	5	0	0	561	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 tenuis	16.29473000	120.01448000	20211113	NoData	52209	3993	8520	2430	0	0	0	561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164987	ATEN09	ATEN9_trim_1.fastq.gz	c87f994d92411a8fc1b41b67b55e4388e5d980f3f94c825b475b9a3df680339b	ATEN9_trim_2.fastq.gz	6faeb055fb51ca63a3ecc212b17f6c5df7b5db0d4746d68ae10b36ee03875c84	835	20230426T085852_jquijano	104582	99040	772	98990	767	50	5	0	0	96633	5	0	0	809	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 tenuis	16.29473000	120.01448000	20211113	NoData	74933	4710	12902	3279	0	0	0	809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164926	ADIG18	ADIG18_trim_1.fastq.gz	683a90cdd8d43f4980777a3e2440ccaf78a82b598015f11355441a5960f0665e	ADIG18_trim_2.fastq.gz	3ad888b34d630b41d600f29edcc8c5758a4b8e8617e159f1e40428c1b5808fe9	835	20230426T085852_jquijano	104300	98861	807	98778	800	83	7	0	0	96481	5	0	0	808	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 digitifera	16.31042000	120.02948000	20211027	NoData	71630	5057	15400	3586	0	0	0	808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164983	ATEN05	ATEN5_trim_1.fastq.gz	a87b7cbef4a1c614e9155740f65a339eab36fbb429d9ab7d30be93ff4cbf068e	ATEN5_trim_2.fastq.gz	381262a175c453f0ef1b046ff3a78834688812b04a9d4910cbe5ee13d4e60259	835	20230426T085852_jquijano	95353	90189	730	90124	725	65	5	0	0	88125	5	0	0	751	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 tenuis	16.29473000	120.01448000	20211113	NoData	70232	4652	9394	3096	0	0	0	751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164955	AMIL07	AMILCANG_trim_1.fastq.gz	1fe5ef7d49e7fa527c4c5d9823da663de09aa505a7d32732f5152b290ad308c3	AMILCANG_trim_2.fastq.gz	ac9f270472023a1527cac4fa64b01f4e17a7bf1a03c5512d7a2a4fef07fbeb05	835	20230426T085852_jquijano	87973	83005	765	82936	759	69	6	0	0	81181	6	0	0	688	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 millepora	16.29466000	120.01467000	20211005	NoData	58718	4360	14657	2751	0	0	0	688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
