sample_uid	C3u	C3	C3xu	C115	C21ab	C3xt	C3xv	22573_C	21841_C	C3ge	C3b	C3bn	21495_C	375675_C	101771_C	C115g	C115a	3176982_C	C3ro	C18a	103089_C	25878_C	C115e	C3kv	376531_C	C3gj	374292_C	9772_C	25305_C	22875_C	113196_C	101112_C	374365_C	D1	D1bj	D4	D2.2	D1c	2450882_D	D17d
164986	0.8094407590810468	0.045698506130160806	0.1043217374152626	0.03394686847924258	0	0	0	0.006592128894287168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164992	0.8634935826646053	0.04608702054038136	0.05234484281822867	0.03125230066995509	0	0	0	0.006822253306829616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164988	0.7727008693426273	0.05096927272548267	0.13308916915261246	0.035827155388841306	0	0	0	0.007413533390436247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165006	0.7623700241287154	0.05760595535646661	0.13692775451466657	0.03528418865842179	0	0	0	0.007812077341729694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164965	0.7518835095780263	0.06437154408369652	0.13626586483777606	0.03966350214534275	0	0	0	0.007815579355158395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164953	0.723959967212783	0.05287444722168814	0.18062315951385868	0.03434562179337981	0	0	0	0.00819680425829041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165003	0.7710336272207701	0.058969474103938685	0.12582517389570688	0.035886757343493864	0	0	0	0.008284967436090558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164987	0.7754390322146678	0.04874111328428177	0.13351546573116843	0.033932507528484056	0	0	0	0.008371881241397866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164926	0.74242596988008	0.052414465024201655	0.1596169193934557	0.03716793980161897	0	0	0	0.00837470590064365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164983	0.7969588652482269	0.0527886524822695	0.10659858156028369	0.03513191489361702	0	0	0	0.008521985815602836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164955	0.723297323265296	0.053707148224338204	0.1805471723679186	0.03388723962503541	0	0	0	0.008474889444574469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.622707283724024e-05	0	0	0	0	0	0
164999	0.7704923568743105	0.05669871001148157	0.1255994056597402	0.03851955244377406	0	0	0	0.008689975010693622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165007	0.7698646380802122	0.05478791289405192	0.1300358754308569	0.03618695420606767	0	0	0	0.009124619388811287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164922	0.8187113366233405	0.05618961562521721	0.08047542920692291	0.035156738722457774	0	0	0	0.009466879822061583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164981	0.7940346433450672	0.0540392305467745	0.10329181583382363	0.03899121451151288	0	0	0	0.009643095762821727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164937	0.8199320719997651	0.0474615090978496	0.08269793573267298	0.03686121741854023	0	0	0	0.008613348732956825	0	0.004433917018215275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164952	0.7150418413428077	0.05697544552532332	0.1781615707094414	0.036257101697933024	0.006620158301095806	0	0	0.00694388242339878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164940	0.7722513089005235	0.049277129938124706	0.12965552118039028	0.03483460257020467	0.005875178486435031	0	0	0.008106258924321751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164980	0.7425547596563558	0.057500518230186336	0.14570329594398507	0.03999585415850934	0.006483635442338254	0	0	0.007761936568625193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165000	0.7584276200943946	0.05471002780112497	0.1364324044740415	0.03618025473588931	0.006969677377642723	0	0	0.007280015516906963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165005	0.7784408952085315	0.057587743453662445	0.11153056626445702	0.037500625844890605	0.007009462774745907	0	0	0.007930706453712511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164956	0.7749988894318334	0.05607258673537382	0.11652081204744347	0.03737061880858247	0.007640708986717605	0	0	0.007396383990049309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164982	0.7535590436210987	0.053397061507574374	0.1414149479832086	0.036354718014236176	0.006376619821135244	0	0	0.008897609052746851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164985	0.7671785184733817	0.05539983344504702	0.12297645887920704	0.039130258160177116	0.006357524424674507	0	0	0.008906627668433774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0778949078869864e-05	0	0	0	0
165004	0.7746689839694482	0.055420887740401104	0.1130028127787052	0.04139129639369755	0.006483111893708981	0	0	0.008552676713393858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00030871961398614193	0.00012577465754990967	0	0	0	0	4.5736239109058065e-05
164998	0.7591161808756397	0.04982812171856175	0.13970222502238286	0.035812580827005336	0.006830918194780648	0	0	0.008709973361629694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164927	0.7819509708307474	0.05745190176434081	0.10635916304636936	0.03836776309956556	0.006882259065519993	0	0	0.008987942193456867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164959	0.8012357232250572	0.04951912777784041	0.10208246423054806	0.031253875728636984	0.0074413989830088055	0	0	0.008467410054908505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164994	0.7496877697111235	0.053622379042493784	0.13912778595725236	0.041630705183530486	0.007219373508656141	0	0	0.008711986596943697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164991	0.7528016666831229	0.055776617067704065	0.13601042664323304	0.03944549215533329	0.0070498326405276516	0	0	0.008915964810079089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164996	0.7429854990048337	0.05503554165481945	0.15119704293431901	0.03481376172874609	0.007483650838783054	0	0	0.008484503838498721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164967	0.7200300587511955	0.0588058477934144	0.16390217242792732	0.04093455390080612	0.007719633829758163	0	0	0.008607733296898483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164932	0.8007420656981944	0.0589664257571729	0.08162722680138261	0.042143047061951606	0.007263542094704019	0	0	0.009257692586594474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164924	0.7484664287307606	0.05626812402409101	0.14232935534240465	0.03635958063796565	0.008378875752844078	0	0	0.008197635511933973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164962	0.7708576787131213	0.11664141960614585	0.06913366515184304	0.026473346317535888	0.011671355406477674	0	0	0	0	0.00522253480487629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164925	0.8206941777132418	0.06780177057473417	0.05447561946695396	0.039615438662232424	0.007190032320014989	0	0	0.010222961262822615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164995	0.7882308372269226	0.05191627730774088	0.10547417603232731	0.03570526581639096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018578734688723324	0	0	0	0	0	0	0	0	0	0	0	0	9.470892789493624e-05	0	0	0	0	0	0
164954	0.7368098159509202	0.055097245790366796	0.15034590784492885	0.03891136927294087	0.006892050646129748	0	0	0.0076099725884349306	0	0.0043336379062785535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164950	0.754064791835917	0.05685700613196523	0.13194297606196512	0.03782676919995103	0.007089041477013477	0	0	0.00803498892685044	0	0.004184426366337625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164984	0.7736623916272658	0.05476645857807206	0.11706682459393598	0.03508703798992243	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01941728721080378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164920	0.7857166107874093	0.06907327235441554	0.0796035285309723	0.04596204550633117	0.009960613261287067	0	0	0.009683929559584649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164939	0.7873446327683615	0.07794099183929692	0.07634651600753296	0.03853107344632768	0.008336472065285625	0	0	0.0068926553672316385	0	0.004607658505963591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164964	0.7156473606048332	0.055704063723504796	0.1685432698798434	0.039624679357364655	0.007303901714594303	0	0	0.008248953692453084	0	0.004927771027406508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
