Stats,Df,SumOfSqs,R2,F,Pr(>F),Basis
mor,1,0.03957353635660886,0.025347686930403186,0.9882622658758736,0.3183,Mortality-based
Residual,38,1.5216551653101509,0.9746523130695969,NA,NA,Mortality-based
Total,39,1.5612287016667596,1,NA,NA,Mortality-based
mig,2,0.06401863132290787,0.04100528721676838,0.7910344065491072,0.4872,MIG-based
Residual,37,1.4972100703438518,0.9589947127832317,NA,NA,MIG-based
Total,39,1.5612287016667596,1,NA,NA,MIG-based
mor.mig,2,0.06326219490636027,0.04052077369498901,0.7812929064073283,0.4892,Mortality+MIG-based
Residual,37,1.4979665067603993,0.9594792263050109,NA,NA,Mortality+MIG-based
Total,39,1.5612287016667596,1,NA,NA,Mortality+MIG-based
kmeans,1,0.02896846887752276,0.01855491693599802,0.7184170115425039,0.4284,Kmeans-based
Residual,38,1.5322602327892367,0.9814450830640019,NA,NA,Kmeans-based
Total,39,1.5612287016667596,1,NA,NA,Kmeans-based
