Stats,Df,SumOfSqs,R2,F,Pr(>F),Basis
mor,1,0.012186198138899616,0.018809479980357122,0.536761646901619,0.5944,Mortality-based
Residual,28,0.6356891366191985,0.9811905200196428,NA,NA,Mortality-based
Total,29,0.6478753347580981,1,NA,NA,Mortality-based
mig,2,0.03139174970329747,0.0484533798697838,0.6874288809439173,0.5858,MIG-based
Residual,27,0.6164835850548006,0.9515466201302162,NA,NA,MIG-based
Total,29,0.6478753347580981,1,NA,NA,MIG-based
mor.mig,2,0.03139174970329747,0.0484533798697838,0.6874288809439173,0.5904,Mortality+MIG-based
Residual,27,0.6164835850548006,0.9515466201302162,NA,NA,Mortality+MIG-based
Total,29,0.6478753347580981,1,NA,NA,Mortality+MIG-based
kmeans,1,0.031817064290643036,0.049109855837501215,1.4460934019472238,0.2207,Kmeans-based
Residual,28,0.6160582704674551,0.9508901441624988,NA,NA,Kmeans-based
Total,29,0.6478753347580981,1,NA,NA,Kmeans-based
