Stats,Df,SumOfSqs,R2,F,Pr(>F),Basis
mor,1,0.006967376450377881,0.053478874164336575,1.299510462266532,0.2539,Mortality-based
Residual,23,0.12331540454025507,0.9465211258356634,NA,NA,Mortality-based
Total,24,0.13028278099063295,1,NA,NA,Mortality-based
mig,2,0.01541728758486303,0.11833710846233393,1.476423932071618,0.2032,MIG-based
Residual,22,0.1148654934057699,0.881662891537666,NA,NA,MIG-based
Total,24,0.13028278099063295,1,NA,NA,MIG-based
mor.mig,2,0.011235379978632318,0.0862384107339566,1.0381510113983676,0.3738,Mortality+MIG-based
Residual,22,0.11904740101200062,0.9137615892660433,NA,NA,Mortality+MIG-based
Total,24,0.13028278099063295,1,NA,NA,Mortality+MIG-based
kmeans,1,0.007260076149566271,0.05572552331446052,1.357324663408664,0.2347,Kmeans-based
Residual,23,0.12302270484106667,0.9442744766855394,NA,NA,Kmeans-based
Total,24,0.13028278099063295,1,NA,NA,Kmeans-based
