Stats,Df,SumOfSqs,R2,F,Pr(>F),Basis
mor,1,8.001555950688075e-7,0.018856316059013847,0.7303109849969992,0.411,Mortality-based
Residual,38,4.163419863216164e-5,0.9811436839409863,NA,NA,Mortality-based
Total,39,4.243435422723044e-5,1,NA,NA,Mortality-based
mig,2,1.1254091969319895e-6,0.026521181185074003,0.5040087595548887,0.6325,MIG-based
Residual,37,4.130894503029845e-5,0.973478818814926,NA,NA,MIG-based
Total,39,4.243435422723044e-5,1,NA,NA,MIG-based
mor.mig,2,1.0854513746117378e-6,0.025579542669585287,0.48564409319134794,0.6553,Mortality+MIG-based
Residual,37,4.13489028526187e-5,0.9744204573304147,NA,NA,Mortality+MIG-based
Total,39,4.243435422723044e-5,1,NA,NA,Mortality+MIG-based
kmeans,1,2.8700199796730936e-7,0.006763435032625948,0.2587606420311644,0.676,Kmeans-based
Residual,38,4.214735222926313e-5,0.9932365649673741,NA,NA,Kmeans-based
Total,39,4.243435422723044e-5,1,NA,NA,Kmeans-based
