Stats,Df,SumOfSqs,R2,F,Pr(>F),Basis
mor,1,1.635978267434118e-7,0.01018433777870467,0.28809551989083054,0.7705,Mortality-based
Residual,28,1.5900070749282504e-5,0.9898156622212952,NA,NA,Mortality-based
Total,29,1.6063668576025917e-5,1,NA,NA,Mortality-based
mig,2,3.8764121779759964e-7,0.024131549774136365,0.3338318006647724,0.837,MIG-based
Residual,27,1.567602735822832e-5,0.9758684502258638,NA,NA,MIG-based
Total,29,1.6063668576025917e-5,1,NA,NA,MIG-based
mor.mig,2,3.8764121779759964e-7,0.024131549774136365,0.3338318006647724,0.8347,Mortality+MIG-based
Residual,27,1.567602735822832e-5,0.9758684502258638,NA,NA,Mortality+MIG-based
Total,29,1.6063668576025917e-5,1,NA,NA,Mortality+MIG-based
kmeans,1,5.435814260610359e-7,0.03383918334024267,0.9806826329414938,0.3611,Kmeans-based
Residual,28,1.552008714996488e-5,0.9661608166597573,NA,NA,Kmeans-based
Total,29,1.6063668576025917e-5,1,NA,NA,Kmeans-based
