Colony ID,Tank ID,Experiment period,Treatment,Sample Mean Gray Value,Standard Mean Gray Value,Normalized mean gray value
CANA,BT1,Post-exposure,Control,122.407,200.132,61.16313233266044
CANA,BT1,Post-exposure,Control,112.619,200.125,56.27432854465959
CANA,BT2,Post-exposure,Control,166.051,206.326,80.47992012640191
CANA,BT2,Post-exposure,Control,183.652,206.521,88.92654984238891
CANA,BT3,Post-exposure,Heat-stressed,141.821,208.238,68.10524496009374
CANA,BT3,Post-exposure,Heat-stressed,116.495,208.394,55.90132153516896
CANA,BT4,Post-exposure,Heat-stressed,96.215,194.173,49.55117343811962
CANA,BT4,Post-exposure,Heat-stressed,65.424,194.53,33.63183056597954
CANA,BT5,Post-exposure,Heat-stressed,129.637,201.362,64.38007171164371
CANA,BT5,Post-exposure,Heat-stressed,107.81,202.155,53.33036531374441
CANA,BT6,Post-exposure,Control,99.626,208.703,47.735777636162396
CANA,BT6,Post-exposure,Control,116.458,208.42,55.87659533634009
CANA,BT7,Post-exposure,Heat-stressed,100.323,201.385,49.81652059488045
CANA,BT7,Post-exposure,Heat-stressed,120.396,201.56,59.73208970033737
CANA,BT8,Post-exposure,Control,117.327,201.136,58.33217325590645
CANA,BT8,Post-exposure,Control,73.693,201.346,36.6001807833282
CANB,BT1,Post-exposure,Control,147.29,217.672,67.66602962255136
CANB,BT1,Post-exposure,Control,168.326,218.42,77.0652870616244
CANB,BT2,Post-exposure,Control,98.148,204.124,48.08253806509769
CANB,BT2,Post-exposure,Control,137.489,204.017,67.39095271472476
CANB,BT3,Post-exposure,Heat-stressed,113.002,220.701,51.2013991780735
CANB,BT3,Post-exposure,Heat-stressed,142.926,220.604,64.78848978259686
CANB,BT4,Post-exposure,Heat-stressed,174.216,202.111,86.19817822879507
CANB,BT4,Post-exposure,Heat-stressed,87.93,202.597,43.40143240028234
CANB,BT5,Post-exposure,Heat-stressed,119.177,202.569,58.83279277678224
CANB,BT5,Post-exposure,Heat-stressed,126.495,202.553,62.450321644211634
CANB,BT6,Post-exposure,Control,91.691,194.101,47.23880866147006
CANB,BT6,Post-exposure,Control,112.472,193.504,58.123863072597985
CANB,BT7,Post-exposure,Heat-stressed,116.566,191.07,61.006960799706924
CANB,BT7,Post-exposure,Heat-stressed,224.896,191.085,117.69421984980507
CANB,BT8,Post-exposure,Control,163.21,207.65,78.59860341921502
CANB,BT8,Post-exposure,Control,116.687,207.998,56.10005865441015
CANC,BT1,Post-exposure,Control,125.748,203.964,61.65205624521975
CANC,BT1,Post-exposure,Control,155.531,203.685,76.35859292535042
CANC,BT2,Post-exposure,Control,134.268,202.299,66.37106461228181
CANC,BT2,Post-exposure,Control,106.222,202.774,52.3844279838638
CANC,BT3,Post-exposure,Heat-stressed,83.405,193.786,43.03974487321066
CANC,BT3,Post-exposure,Heat-stressed,90.392,194.192,46.54774656010546
CANC,BT4,Post-exposure,Heat-stressed,129.33,202.055,64.00732473831383
CANC,BT4,Post-exposure,Heat-stressed,137.265,202.906,67.6495520093048
CANC,BT5,Post-exposure,Heat-stressed,99.71,201.406,49.50696602881741
CANC,BT5,Post-exposure,Heat-stressed,100.894,200.944,50.21000875865913
CANC,BT6,Post-exposure,Control,107.679,210.771,51.0881478002192
CANC,BT6,Post-exposure,Control,103.639,211.053,49.10567487787428
CANC,BT7,Post-exposure,Heat-stressed,117.132,194.681,60.166117905702144
CANC,BT7,Post-exposure,Heat-stressed,102.764,194.759,52.7646989356076
CANC,BT8,Post-exposure,Control,137.085,212.438,64.52941564126947
CANC,BT8,Post-exposure,Control,116.088,212.49,54.63221798672878
CAND,BT1,Post-exposure,Control,107.55,199.737,53.845807236516016
CAND,BT1,Post-exposure,Control,127.734,199.834,63.920053644524955
CAND,BT2,Post-exposure,Control,141.217,217.616,64.89274685684876
CAND,BT2,Post-exposure,Control,155,217.457,71.27845964949393
CAND,BT3,Post-exposure,Heat-stressed,74.036,205.767,35.98050221852873
CAND,BT3,Post-exposure,Heat-stressed,82.226,205.058,40.09889884813077
CAND,BT4,Post-exposure,Heat-stressed,149.115,214.041,69.66655921061853
CAND,BT4,Post-exposure,Heat-stressed,88.565,214.077,41.370628325322194
CAND,BT5,Post-exposure,Heat-stressed,80.694,199.771,40.393250271560944
CAND,BT5,Post-exposure,Heat-stressed,70.724,200.427,35.28666297454934
CAND,BT6,Post-exposure,Control,59.801,200.063,29.891084308442846
CAND,BT6,Post-exposure,Control,81.378,200.296,40.62886927347526
CAND,BT7,Post-exposure,Heat-stressed,92.628,192.541,48.108195137658996
CAND,BT7,Post-exposure,Heat-stressed,74.761,192.623,38.8120837075531
CAND,BT8,Post-exposure,Control,138.817,205.72,67.47861170523042
CAND,BT8,Post-exposure,Control,89.965,206.309,43.60691971751112
CANE,BT1,Post-exposure,Control,113.803,196.889,57.800588148652274
CANE,BT1,Post-exposure,Control,125.958,197.305,63.839233673753824
CANE,BT2,Post-exposure,Control,125.16,207.246,60.391997915520676
CANE,BT2,Post-exposure,Control,125.004,207.55,60.228378703926765
CANE,BT3,Post-exposure,Heat-stressed,112.84,194.831,57.91686127977581
CANE,BT3,Post-exposure,Heat-stressed,183.919,194.953,94.34017429842065
CANE,BT4,Post-exposure,Heat-stressed,97.653,205.093,47.61400925433828
CANE,BT4,Post-exposure,Heat-stressed,95.883,205.214,46.7234204294054
CANE,BT5,Post-exposure,Heat-stressed,153.639,196.272,78.27861335289803
CANE,BT5,Post-exposure,Heat-stressed,76.412,196.398,38.906709844295776
CANE,BT6,Post-exposure,Control,67.86,205.915,32.95534565233228
CANE,BT6,Post-exposure,Control,79.559,205.881,38.643196798150385
CANE,BT7,Post-exposure,Heat-stressed,195.039,192.306,101.42117250631803
CANE,BT7,Post-exposure,Heat-stressed,189.811,192.835,98.43181994969792
CANE,BT8,Post-exposure,Control,83.613,202.123,41.36738520603791
CANE,BT8,Post-exposure,Control,62.096,203.066,30.579220548984072
CANF,BT1,Post-exposure,Control,119.821,197.417,60.69436775961543
CANF,BT1,Post-exposure,Control,112.056,205.797,54.44977332031079
CANF,BT2,Post-exposure,Control,95.045,211.594,44.9185704698621
CANF,BT2,Post-exposure,Control,128.227,211.906,60.51126442856738
CANF,BT3,Post-exposure,Heat-stressed,152.97,185.114,82.63556511122876
CANF,BT3,Post-exposure,Heat-stressed,119.377,174.228,68.51768946438
CANF,BT4,Post-exposure,Heat-stressed,119.025,212.832,55.92439106901218
CANF,BT4,Post-exposure,Heat-stressed,128.8,205.51,62.673349228748
CANF,BT5,Post-exposure,Heat-stressed,121.696,187.991,64.73501391024038
CANF,BT5,Post-exposure,Heat-stressed,92.915,188.058,49.40762956109286
CANF,BT6,Post-exposure,Control,139.865,202.817,68.9611817549811
CANF,BT6,Post-exposure,Control,73.555,203.123,36.21204885709645
CANF,BT7,Post-exposure,Heat-stressed,195.781,186.864,104.77191968490453
CANF,BT7,Post-exposure,Heat-stressed,207.218,186.38,111.1803841613907
CANF,BT8,Post-exposure,Control,63.502,202.939,31.29117616623715
CANF,BT8,Post-exposure,Control,76.199,202.796,37.57421250912247
CANG,BT1,Post-exposure,Control,143.871,201.404,71.43403308772417
CANG,BT1,Post-exposure,Control,82.026,201.735,40.6602721391925
CANG,BT2,Post-exposure,Control,98.13,197.912,49.58264279073527
CANG,BT2,Post-exposure,Control,96.043,197.645,48.593690708087735
CANG,BT3,Post-exposure,Heat-stressed,85.993,190.158,45.22186813071236
CANG,BT3,Post-exposure,Heat-stressed,89.962,190.455,47.2353049276732
CANG,BT4,Post-exposure,Heat-stressed,120.172,201.659,59.591686956694225
CANG,BT4,Post-exposure,Heat-stressed,119.64,201.8,59.28642220019821
CANG,BT5,Post-exposure,Heat-stressed,107.727,191.85,56.15168100078186
CANG,BT5,Post-exposure,Heat-stressed,86.015,191.77,44.85320957396882
CANG,BT6,Post-exposure,Control,95.53,196.505,48.61453907025267
CANG,BT6,Post-exposure,Control,95.908,196.586,48.786790514075264
CANG,BT7,Post-exposure,Heat-stressed,242.012,195.713,123.65657876584591
CANG,BT7,Post-exposure,Heat-stressed,127.086,195.977,64.84740556289769
CANG,BT8,Post-exposure,Control,96.036,200.257,47.956376056767056
CANG,BT8,Post-exposure,Control,97.343,200.477,48.555694668216304
CANH,BT1,Post-exposure,Control,126.779,202.807,62.51214208582544
CANH,BT1,Post-exposure,Control,110.68,202.909,54.54661942052842
CANH,BT2,Post-exposure,Control,102.224,205.437,49.75929360339179
CANH,BT2,Post-exposure,Control,129.502,205.505,63.01647161869541
CANH,BT3,Post-exposure,Heat-stressed,143.5,201.041,71.37847503743018
CANH,BT3,Post-exposure,Heat-stressed,157,200.773,78.19776563581756
CANH,BT4,Post-exposure,Heat-stressed,148,209.22,70.73893509224739
CANH,BT4,Post-exposure,Heat-stressed,118.804,209.218,56.78478907168599
CANH,BT5,Post-exposure,Heat-stressed,89.197,206.968,43.097000502493145
CANH,BT5,Post-exposure,Heat-stressed,75.784,206.898,36.628676932594814
CANH,BT6,Post-exposure,Control,80.985,207.53,39.02327374355515
CANH,BT6,Post-exposure,Control,65.695,207.511,31.658562678604984
CANH,BT7,Post-exposure,Heat-stressed,154,203.797,75.56539105089868
CANH,BT7,Post-exposure,Heat-stressed,133.749,203.868,65.60568603213845
CANH,BT8,Post-exposure,Control,93.381,202.428,46.1304760211038
CANH,BT8,Post-exposure,Control,87.679,202.15,43.3732376947811
CANI,BT1,Post-exposure,Control,138.104,207.37,66.59786854414814
CANI,BT1,Post-exposure,Control,109.933,207.203,53.0556990004971
CANI,BT2,Post-exposure,Control,130.145,206.784,62.93765475085114
CANI,BT2,Post-exposure,Control,85.744,206.671,41.488162344983095
CANI,BT3,Post-exposure,Heat-stressed,153.601,203.881,75.3385553337486
CANI,BT3,Post-exposure,Heat-stressed,179.992,204.347,88.08154756370291
CANI,BT4,Post-exposure,Heat-stressed,130.209,199.936,65.12534010883483
CANI,BT4,Post-exposure,Heat-stressed,118.515,199.479,59.412268960642464
CANI,BT5,Post-exposure,Heat-stressed,183.465,199.535,91.94627508958328
CANI,BT5,Post-exposure,Heat-stressed,115.084,199.29,57.747001856590906
CANI,BT6,Post-exposure,Control,151.183,195.799,77.21336676898247
CANI,BT6,Post-exposure,Control,112.905,196.082,57.58050203486297
CANI,BT7,Post-exposure,Heat-stressed,141.007,200.304,70.39649732406743
CANI,BT7,Post-exposure,Heat-stressed,139.628,200.246,69.72823427184562
CANI,BT8,Post-exposure,Control,146.605,197.821,74.10992766187614
CANI,BT8,Post-exposure,Control,114.888,197.309,58.22745034438369
CANJ,BT1,Post-exposure,Control,148.825,219.161,67.90669872833213
CANJ,BT1,Post-exposure,Control,103.532,219.653,47.13434371485935
CANJ,BT2,Post-exposure,Control,163.741,203.852,80.32346996840846
CANJ,BT2,Post-exposure,Control,117.67,204.031,57.67260857418726
CANJ,BT3,Post-exposure,Heat-stressed,134.557,199.7,67.37956935403105
CANJ,BT3,Post-exposure,Heat-stressed,218.491,199.943,109.2766438434954
