Species,Start of experiment,Date,Day elapsed,Colony,Treatment,N fragment,Bleached fragments,Healthy fragments
A. millepora,06-Oct-21,06-Oct-21,0,AMIL01,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL02,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL03,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL04,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL05,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL06,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL07,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL08,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL09,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL10,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL11,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL12,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL13,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL14,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL15,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL16,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL17,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL18,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL19,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL20,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL21,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL22,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL23,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL24,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL25,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL26,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL27,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL28,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL29,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL30,Control,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL01,Heat-stressed,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL02,Heat-stressed,8,0,8
A. millepora,06-Oct-21,06-Oct-21,0,AMIL03,Heat-stressed,8,0,8
