Colony ID,Tank ID,Experiment period,Treatment,Sample Mean Gray Value,Standard Mean Gray Value,Normalized mean gray value
ATEN01,BT1,Pre-exposure,Control,79.558,176.729,45.016946850828106
ATEN01,BT1,Pre-exposure,Control,93.23,207.303,44.97281756655717
ATEN01,BT2,Pre-exposure,Control,90.344,208.036,43.42709915591532
ATEN01,BT2,Pre-exposure,Control,100.356,208.138,48.216087403549565
ATEN01,BT3,Pre-exposure,Heat-stressed,116.631,207.575,56.187402143803446
ATEN01,BT3,Pre-exposure,Heat-stressed,113.36,207.961,54.51022066637494
ATEN01,BT4,Pre-exposure,Heat-stressed,118.877,207.574,57.2696965901317
ATEN01,BT4,Pre-exposure,Heat-stressed,110.167,208.008,52.96286681281489
ATEN01,BT5,Pre-exposure,Heat-stressed,47.918,176.043,27.219486148270594
ATEN01,BT5,Pre-exposure,Heat-stressed,95.404,207.311,46.01974810791516
ATEN01,BT6,Pre-exposure,Control,123.129,207.282,59.40168466147567
ATEN01,BT6,Pre-exposure,Control,128.749,207.119,62.1618489853659
ATEN01,BT7,Pre-exposure,Heat-stressed,106.672,207.744,51.34781269254467
ATEN01,BT7,Pre-exposure,Heat-stressed,119.917,207.424,57.8125
ATEN01,BT8,Pre-exposure,Control,105.588,207.018,51.00426049908703
ATEN01,BT8,Pre-exposure,Control,125.464,207.392,60.49606542200278
ATEN02,BT1,Pre-exposure,Control,46.869,171.42,27.341617080854046
ATEN02,BT1,Pre-exposure,Control,76.671,204.1,37.56540911317982
ATEN02,BT2,Pre-exposure,Control,71.698,204.56,35.04986312084474
ATEN02,BT2,Pre-exposure,Control,102.002,204.312,49.92462508320607
ATEN02,BT3,Pre-exposure,Heat-stressed,72.991,204.499,35.692595073814545
ATEN02,BT3,Pre-exposure,Heat-stressed,105.309,204.592,51.472687104090085
ATEN02,BT4,Pre-exposure,Heat-stressed,86.213,204.315,42.196118738222836
ATEN02,BT4,Pre-exposure,Heat-stressed,109.247,203.906,53.577138485380516
ATEN02,BT5,Pre-exposure,Heat-stressed,69.322,177.061,39.1514788688644
ATEN02,BT5,Pre-exposure,Heat-stressed,86.022,205.372,41.885943556083596
ATEN02,BT6,Pre-exposure,Control,123.566,200.266,61.700937752788796
ATEN02,BT6,Pre-exposure,Control,71.033,204.996,34.65092001795157
ATEN02,BT7,Pre-exposure,Heat-stressed,108.022,204.521,52.817070129717735
ATEN02,BT7,Pre-exposure,Heat-stressed,114.908,204.907,56.07812324615558
ATEN02,BT8,Pre-exposure,Control,145.438,204.572,71.09379582738595
ATEN02,BT8,Pre-exposure,Control,88.747,204.718,43.35085336902471
ATEN03,BT1,Pre-exposure,Control,78.703,177.001,44.464720538302046
ATEN03,BT1,Pre-exposure,Control,105.82,208.547,50.74155945662129
ATEN03,BT2,Pre-exposure,Control,108.73,208.706,52.09720851341122
ATEN03,BT2,Pre-exposure,Control,93,209.081,44.480368852263005
ATEN03,BT3,Pre-exposure,Heat-stressed,124.279,208.574,59.58508730714278
ATEN03,BT3,Pre-exposure,Heat-stressed,104.463,208.401,50.12595908848806
ATEN03,BT4,Pre-exposure,Heat-stressed,117.569,207.441,56.67587410396209
ATEN03,BT4,Pre-exposure,Heat-stressed,98.116,208.79,46.99267206283826
ATEN03,BT5,Pre-exposure,Heat-stressed,86.278,172.198,50.1039501039501
ATEN03,BT5,Pre-exposure,Heat-stressed,89.453,172.519,51.85110045850022
ATEN03,BT6,Pre-exposure,Control,104.603,172.402,60.67389009408244
ATEN03,BT6,Pre-exposure,Control,130.489,209.351,62.33024919871413
ATEN03,BT7,Pre-exposure,Heat-stressed,121.304,210.232,57.70006469043724
ATEN03,BT7,Pre-exposure,Heat-stressed,139.087,210.39,66.10913066210371
ATEN03,BT8,Pre-exposure,Control,141.61,209.872,67.4744606236182
ATEN03,BT8,Pre-exposure,Control,131.004,210.129,62.344559770426734
ATEN04,BT1,Pre-exposure,Control,57.118,174.373,32.75621799246443
ATEN04,BT1,Pre-exposure,Control,64.861,204.724,31.68216721048827
ATEN04,BT2,Pre-exposure,Control,69.102,204.193,33.84151268652696
ATEN04,BT2,Pre-exposure,Control,89.351,203.966,43.806810939078076
ATEN04,BT3,Pre-exposure,Heat-stressed,102.155,204.713,49.90156951439332
ATEN04,BT3,Pre-exposure,Heat-stressed,72.15,204.761,35.23620220647487
ATEN04,BT4,Pre-exposure,Heat-stressed,130.327,204.218,63.81758708830759
ATEN04,BT4,Pre-exposure,Heat-stressed,102.569,204.47,50.16334914657408
ATEN04,BT5,Pre-exposure,Heat-stressed,61.531,172.935,35.58042038916356
ATEN04,BT5,Pre-exposure,Heat-stressed,70.607,200.456,35.22319112423674
ATEN04,BT6,Pre-exposure,Control,132.148,200.374,65.95067224290577
ATEN04,BT6,Pre-exposure,Control,124.271,200.178,62.080248578764895
ATEN04,BT7,Pre-exposure,Heat-stressed,88.59,200.779,44.12314036826561
ATEN04,BT7,Pre-exposure,Heat-stressed,120.776,200.818,60.1420191417104
ATEN04,BT8,Pre-exposure,Control,117.51,200.011,58.7517686527241
ATEN04,BT8,Pre-exposure,Control,76.666,200.42,38.25266939427203
ATEN05,BT1,Pre-exposure,Control,69.938,166.416,42.02600711470051
ATEN05,BT1,Pre-exposure,Control,98.068,205.294,47.76954026907752
ATEN05,BT2,Pre-exposure,Control,128.995,197.572,65.29012208207641
ATEN05,BT2,Pre-exposure,Control,117.84,205.275,57.40591888929485
ATEN05,BT3,Pre-exposure,Heat-stressed,146.203,204.738,71.40980179546543
ATEN05,BT3,Pre-exposure,Heat-stressed,125.944,204.686,61.53034403916242
ATEN05,BT4,Pre-exposure,Heat-stressed,145.512,205.301,70.87739465467777
ATEN05,BT4,Pre-exposure,Heat-stressed,102.425,205.318,49.88603045032583
ATEN05,BT5,Pre-exposure,Heat-stressed,97.744,166.774,58.608656025519565
