Species,Start of experiment,Date,Day elapsed,Colony,Treatment,N fragment,Bleached fragments,Healthy fragments
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN01,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN02,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN03,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN04,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN05,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN06,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN07,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN08,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN09,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN10,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN11,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN12,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN13,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN14,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN15,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN16,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN17,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN18,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN19,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN20,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN21,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN22,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN23,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN24,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN25,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN26,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN27,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN28,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN29,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN30,Control,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN01,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN02,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN03,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN04,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN05,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN06,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN07,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN08,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN09,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN10,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN11,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN12,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN13,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN14,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN15,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN16,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN17,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN18,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN19,Heat-stressed,7,0,7
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN20,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN21,Heat-stressed,7,0,7
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN22,Heat-stressed,8,0,8
A. tenuis,14-Nov-21,14-Nov-21,0,ATEN23,Heat-stressed,8,0,8
